Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Valeria Aponte,Jr.,DS/L,5-7,Corporate Finance,https://www.bentleyfalcons.com/sports/wvball/2019-20/bios/aponte_valeria_11u7?view=bio,Guaynabo,Academia María Reina,Bentley University,Massachusetts,https://www.bentleyfalcons.com/sports/wvball/index,Northeast-10 Conference,NCAA D-II
Naomi Eckert,Fr.,S,5-8,Health Science,https://aicyellowjackets.com/sports/womens-volleyball/roster/naomi-eckert/8517,Toa Baja,Antilles High School,American International College,Massachusetts,https://aicyellowjackets.com/sports/womens-volleyball,Northeast-10 Conference,NCAA D-II
Lyanne Hernández,So.,OH,5-8,Physical Therapy,https://aicyellowjackets.com/sports/womens-volleyball/roster/lyanne-hernandez/8510,Peñuelas,Liceo Ponceño,American International College,Massachusetts,https://aicyellowjackets.com/sports/womens-volleyball,Northeast-10 Conference,NCAA D-II
Claudia González,So.,MB,6-2,Business,https://aicyellowjackets.com/sports/womens-volleyball/roster/claudia-gonzalez/8509,Ponce,Colegio Sagrado Corazón de Jesús,American International College,Massachusetts,https://aicyellowjackets.com/sports/womens-volleyball,Northeast-10 Conference,NCAA D-II
Andrea Serra,Jr.,OH,5-10,Business Marketing,https://aicyellowjackets.com/sports/womens-volleyball/roster/andrea-serra/8514,Toa Alta,Colegio Puertorriqueño de Niñas,American International College,Massachusetts,https://aicyellowjackets.com/sports/womens-volleyball,Northeast-10 Conference,NCAA D-II
Michelle Henwood,Fr.,S,5-9,Elementary Education,https://www.saintanselmhawks.com/sports/wvball/2019-20/bios/henwood_michelle_kk31?view=bio,Guaynabo,Academia María Reina,Saint Anselm College,New Hampshire,https://www.saintanselmhawks.com/sports/wvball/index,Northeast-10 Conference,NCAA D-II
Itzel Cruz,Fr.,DS/L,5-3,Forensic Science,https://newhavenchargers.com/sports/womens-volleyball/roster/itzel-cruz/10525,San Juan,Colegio Católico Notre Dame,University of New Haven,Connecticut,https://newhavenchargers.com/index.aspx?path=wvball,Northeast-10 Conference,NCAA D-II
Natalia Quiñones,Sr.,MB,6-0,Accounting,https://paceuathletics.com/sports/womens-volleyball/roster/natalia-quinones/5545,San Juan,Colegio La Piedad,Pace University,New York,https://paceuathletics.com/sports/womens-volleyball,Northeast-10 Conference,NCAA D-II
Lara Herrero,So.,OH,5-8,Undeclared,https://assumption.prestosports.com/sports/wvball/2019-20/bios/herrero_lara_h1oo?view=bio,San Juan,Academia María Reina,Assumption College,Massachusetts,https://assumption.prestosports.com/sports/wvball/index,Northeast-10 Conference,NCAA D-II
Ariana Orcera,Jr.,OH,5-8,Criminology,https://assumption.prestosports.com/sports/wvball/2019-20/bios/orcera_ariana_y8jg?view=bio,Guaynabo,Colegio Marista,Assumption College,Massachusetts,https://assumption.prestosports.com/sports/wvball/index,Northeast-10 Conference,NCAA D-II
Tammy Reyes Pérez,Jr.,S,5-9,,https://vstateblazers.com/sports/womens-volleyball/roster/tammy-reyes-perez/3720,Bayamón,Colegio Puertorriqueño de Niñas,Valdosta State University,Georgia,https://vstateblazers.com/index.aspx?path=wvball,Gulf South Conference,NCAA D-II
Liz Ortiz Muñoz,Sr.,L,5-8,Chemistry,https://ssuathletics.com/sports/womens-volleyball/roster/liz-ortiz/4289,Coamo,Colegio Nuestra Señora de la Valvanera,Savannah State University,Georgia,https://ssuathletics.com/index.aspx?path=wvball,Southern Intercollegiate Athletic Conference,NCAA D-II
Valeria Aldarondo,So.,S,5-8,Biology,https://ssuathletics.com/sports/womens-volleyball/roster/valeria-aldarondo/4291,Isabela,,Savannah State University,Georgia,https://ssuathletics.com/index.aspx?path=wvball,Southern Intercollegiate Athletic Conference,NCAA D-II
Gyanella Vega Ortega,Fr.,MB,5-8,,https://ksuthorobreds.com/sports/womens-volleyball/roster/gyanella-vega-ortega/2998,Aguadilla,Carib Christian,Kentucky State University,Kentucky,https://ksuthorobreds.com/index.aspx?path=wvball,Southern Intercollegiate Athletic Conference,NCAA D-II
Carolin Santa,Jr.,OH,5-9,Biology,https://www.lakeeriestorm.com/sports/wvball/2019-20/bios/santa_carolin_84jz?view=bio,Arecibo,Christian Military Academy,Lake Erie College,Ohio,https://www.lakeeriestorm.com/sports/wvball/index,Great Midwest Athletic Conference,NCAA D-II
Norian Ceballos Plaza,So.,MH,5-11,,https://uafortsmithlions.com/sports/womens-volleyball/roster/norian-ceballos-plaza/1550,Loíza,CIEM Private School,University of Arkansas - Fort Smith,Arkansas,https://uafortsmithlions.com/index.aspx?path=wvball,Lone Star Conference,NCAA D-II
Isabel Vega,So.,OH,5-8,Biology,https://twuathletics.com/sports/womens-volleyball/roster/isabel-vega/1209,Toa Alta,Colegio Rosa-Bell,Texas Woman's University,Texas,https://twuathletics.com/index.aspx?path=wvball,Lone Star Conference,NCAA D-II
Gabriela Martínez,Sr.,DS,5-2,,http://www.nmuwildcats.com/sports/wvball/2019-20/bios/martinez_gabriela_y511?view=bio,Vega Baja,Colegio Marista,Northern Michigan University,Michigan,http://www.nmuwildcats.com/sports/wvball/index,Great Lakes Intercollegiate Athletic Conference,NCAA D-II
Natalia Cruz,Sr.,DS/L,5-9,,https://goumary.com/sports/womens-volleyball/roster/natalia-cruz/4901,San Juan,Wesleyan Academy,University of Mary,North Dakota,https://goumary.com/index.aspx?path=wvball,Northern Sun Intercollegiate Conference,NCAA D-II
Claudia Rivera,So.,L,5-3,Human Performance,https://www.tampaspartans.com/sports/wvball/2019-20/bios/rivera_claudia_qawg?view=bio,Gurabo,Colegio Católico Notre Dame,University of Tampa,Florida,https://www.tampaspartans.com/sports/wvball/index,Sunshine State Conference,NCAA D-II
Nicole Domínguez,Sr.,L,5-8,Pre-med,https://www.tampaspartans.com/sports/wvball/2019-20/bios/dominguez_nicole_9wl4?view=bio,Manatí,,University of Tampa,Florida,https://www.tampaspartans.com/sports/wvball/index,Sunshine State Conference,NCAA D-II
Fabiola Rosado,Sr.,DS,5-1,Sport Business,https://saintleolions.com/sports/womens-volleyball/roster/fabiola-rosado/4636,San Juan,,Saint Leo University,Florida,https://saintleolions.com/index.aspx?path=wvball,Sunshine State Conference,NCAA D-II
Alondra Rodríguez,Jr.,L,5-4,,https://www.rollinssports.com/sports/wvball/2019-20/bios/rodriguez_alondra_csa8?view=bio,Bayamón,,Rollins College,Florida,https://www.rollinssports.com/sports/wvball/index,Sunshine State Conference,NCAA D-II
Sheila Villagrasa,Sr.,S,5-9,,https://floridatechsports.com/sports/womens-volleyball/roster/sheila-villagrasa/13604,San Juan,St. Mary's School,Florida Technical College,Florida,https://floridatechsports.com/index.aspx?path=wvball,Sunshine State Conference,NCAA D-II
Anixa Rosa Martínez,Fr.,OH,5-8,,https://gocuhawks.com/sports/womens-volleyball/roster/anixa-rosa-martinez/4071,San Lorenzo,Colegio Adianez,Chowan University,North Carolina,https://gocuhawks.com/index.aspx?path=wvball,Conference Carolinas,NCAA D-II
Alondra Díaz Sánchez,So.,DS/L,5-4,Biology,https://www.felicianathletics.com/sports/wvball/2019-20/bios/diaz_sanchez_alondra_d3on?view=bio,Toa Alta,Colegio De La Salle,Felician University,New Jersey,https://www.felicianathletics.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA D-II
Junelly Marrero,Jr.,DS/L,5-4,Psychology,https://bcbearsathletics.com/sports/womens-volleyball/roster/junelly-marrero/2538,Cataño,Academia Bautista de Puerto Nuevo,Bloomfield College,New Jersey,https://bcbearsathletics.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA D-II
Alejandra Leal Montes,Jr.,DS/L,5-4,,https://caldwellathletics.com/sports/womens-volleyball/roster/alejandra-leal-montes/2346,Gurabo,Colegio Católico Notre Dame,Caldwell University,New Jersey,https://caldwellathletics.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA D-II
Tanializ Rivera,Fr.,MB,5-11,Business Administration,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/rivera_tanializ_vyl5?view=profile,Carolina,Academia Presbiteriana en Villa Carolina,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA D-II
Lydimar Soto De Los Santos,Fr.,DS,5-5,Criminal Justice,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/soto_lydimar_kazg?view=profile,Trujillo Alto,Academia Bautista de Puerto Nuevo,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA D-II
Alana Rousset Hernández,Sr.,DS/S,5-2,Biology / Psychology,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/rousset-hernandez_alana_xd1u?view=profile,Canóvanas,Carvin School,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA D-II
Militza de Hostos,So.,RSH,5-7,Nursing,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/hostos_militza_rlc3?view=profile,Bayamón,,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA D-II
Nilka Rivera,So.,OH,5-11,Biology,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/rivera_nilka_gtp1?view=profile,Bayamón,Academia Discípulos de Cristo,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA D-II
Camila Rabassa,Sr.,OH,6-0,Biology,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/rabassa_camila_r29q?view=profile,Juana Díaz,ECEDAO,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA D-II
