Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Ariana Ruiz,Fr.,S/DS,5-5,,https://neoathletics.com/sports/womens-volleyball/roster/ariana-ruiz/4257,Bayamón,Escuela Francisco Gaztambide Vega,Northeastern Oklahoma A&M College,Oklahoma,https://neoathletics.com/index.aspx?path=wvball,Region 2,NJCAA D-II
Victoria Medina,Fr.,DS/L,5-2,,https://neoathletics.com/sports/womens-volleyball/roster/victoria-medina/4253,Bayamón,,Northeastern Oklahoma A&M College,Oklahoma,https://neoathletics.com/index.aspx?path=wvball,Region 3,NJCAA D-II
Alanis Ruiz,Fr.,MH,5-7,,https://neoathletics.com/sports/womens-volleyball/roster/alanis-ruiz/4256,Bayamón,Escuela Francisco Gaztambide Vega,Northeastern Oklahoma A&M College,Oklahoma,https://neoathletics.com/index.aspx?path=wvball,Region 4,NJCAA D-II
Gabriela López,So.,L/OH,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/lopez_gabriela_56oj,San Juan,Fountain Christian Bilingual School,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,Region 4,NJCAA D-II
Amanda Vega,Fr.,S,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/vega_amanda_xorm,Toa Baja,Bayamón Military Academy,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,Region 4,NJCAA D-II
Hecsiris Hernández,So.,DS/L,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/hernandez_hecsiris_h6ww,Santa Isabel,Escuela Elvira M. Colón,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,Region 4,NJCAA D-II
Evelys Vicenty,So.,S,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/vicenty_evelis_njre,San Juan,University High School,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,Region 4,NJCAA D-II
Angelie Rivera,Fr.,OH,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/rivera_angelie_982f,Vega Baja,Christian Military Academy,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,Region 4,NJCAA D-II
Celymar Cabranes,So.,DS,5-6,,https://www.allenreddevils.com/sports/wvball/2019-20/bios/cabranes_celymar_l1z0?view=profile,Bayamón,Leadership Christian Academy,Allen Community College,Kansas,https://www.allenreddevils.com/sports/wvball/index,Region 6,NJCAA D-II
Laia Jaca,Fr.,S,5-5,,https://www.allenreddevils.com/sports/wvball/2019-20/bios/jaca_laia_5b1k?view=profile,Carolina,Colegio De Diego de Carolina,Allen Community College,Kansas,https://www.allenreddevils.com/sports/wvball/index,Region 6,NJCAA D-II
