Player,Institution,State,Conference,Division,Major,Min_GPA,Award,Announcement,Announcement_Date
Stephanie Sánchez,Keiser University,Florida,The Sun Conference,NAIA,Biomedicine,3.50,All-Academic Team,https://thesunconference.com/news/2019/11/13/the-sun-conference-2019-volleyball-all-academic-awards-are-announced.aspx,11/13/19
Adriana Soto,Florida Memorial University,Florida,The Sun Conference,NAIA,,3.50,All-Academic Team,https://thesunconference.com/news/2020/5/22/the-sun-conference-names-its-2020-all-academic-honorees-for-baseball-softball-and-beach-volleyball.aspx,5/22/20
Biancaliz Cruz,Florida Memorial University,Florida,The Sun Conference,NAIA,Biology,3.50,All-Academic Team,https://thesunconference.com/news/2020/5/22/the-sun-conference-names-its-2020-all-academic-honorees-for-baseball-softball-and-beach-volleyball.aspx,5/22/20
Francheska Rivera,Florida Memorial University,Florida,The Sun Conference,NAIA,Biology,3.50,All-Academic Team,https://thesunconference.com/news/2020/5/22/the-sun-conference-names-its-2020-all-academic-honorees-for-baseball-softball-and-beach-volleyball.aspx,5/22/20
Jesennia Bonilla,Florida Memorial University,Florida,The Sun Conference,NAIA,Biology,3.50,All-Academic Team,https://thesunconference.com/news/2020/5/22/the-sun-conference-names-its-2020-all-academic-honorees-for-baseball-softball-and-beach-volleyball.aspx,5/22/20
Sammyra Albarrán,Florida Memorial University,Florida,The Sun Conference,NAIA,Education,3.50,All-Academic Team,https://thesunconference.com/news/2020/5/22/the-sun-conference-names-its-2020-all-academic-honorees-for-baseball-softball-and-beach-volleyball.aspx,5/22/20
Alanis Santana,Florida Memorial University,Florida,The Sun Conference,NAIA,Biology,3.50,All-Academic Team,https://thesunconference.com/news/2020/5/22/the-sun-conference-names-its-2020-all-academic-honorees-for-baseball-softball-and-beach-volleyball.aspx,5/22/20
Keniah Rivera Santiago,Southeastern University,Florida,The Sun Conference,NAIA BVB,Psychology,3.50,All-Academic Team,https://thesunconference.com/news/2020/5/22/the-sun-conference-names-its-2020-all-academic-honorees-for-baseball-softball-and-beach-volleyball.aspx,5/22/20
Natalie Tricoche,Bethany College,Kansas,Kansas Collegiate Athletic Conference,NAIA,,3.33,Scholar Athlete,https://www.kcacsports.com/article/6395,11/16/19
Ellisangi Matos Torres,Oklahoma Wesleyan University,Oklahoma,Kansas Collegiate Athletic Conference,NAIA,,3.33,Scholar Athlete,https://www.kcacsports.com/article/6395,11/16/19
Gabriella Gracia Badillo,Texas Wesleyan University,Texas,Sooner Athletic Conference,NAIA,Business,3.00,Commissioner's Honor Roll,http://www.soonerathletic.org/article/4641,7/1/20
Nashali Cruz,William Penn University,Iowa,Heart of America Athletic Conference,NAIA,Biology,3.40,Scholar Athlete,http://www.heartofamericaconference.com/article/4210.php,6/30/20
Angélica Monteagudo Jusino,Florida College,Florida,Southern States Athletic Conference,NAIA,,,All-Academic Team,http://www.ssacsports.com/article/5950,11/14/19
Yeryvel Catalá,University of Pikeville,Kentucky,Mid-South Conference,NAIA,,3.25,Academic All-Conference,https://upikebears.com/news/2019/11/12/volleyball-six-upike-volleyball-players-named-academic-all-msc.aspx,11/12/19
Charisse Lazú,Fisher College,Massachusetts,Association of Independent Institutions,NAIA,,3.20,Academic All-Conference,http://www.aiisports.com/article/2226.php,6/17/20
Alejandra Pérez,Stetson University,Florida,Atlantic Sun Conference,NCAA DI,Chemistry,3.00,Academic Honor Roll,https://asunsports.org/general/2019-20/releases/20200713koa4k4,7/16/20
Rocío Moro,University of North Florida,Florida,Atlantic Sun Conference,NCAA DI,Nursing,3.00,Academic Honor Roll,https://asunsports.org/general/2019-20/releases/20200713koa4k4,7/16/20
Solimar Cestero,University of North Florida,Florida,Atlantic Sun Conference,NCAA DI,,3.00,Academic Honor Roll,https://asunsports.org/general/2019-20/releases/20200713koa4k4,7/16/20
Angelie Rosario,University of North Florida,Florida,Atlantic Sun Conference,NCAA DI,Psychology,3.00,Academic Honor Roll,https://asunsports.org/general/2019-20/releases/20200713koa4k4,7/16/20
Génesis Benítez,University of North Alabama,Alabama,Atlantic Sun Conference,NCAA DI BVB,Interior Design,3.00,Academic Honor Roll,https://asunsports.org/general/2019-20/releases/20200713koa4k4,7/16/20
Joise Maldonado,University of North Alabama,Alabama,Atlantic Sun Conference,NCAA DI BVB,Language,3.00,Academic Honor Roll,https://asunsports.org/general/2019-20/releases/20200713koa4k4,7/16/20
Amanda Rullán Villanova,Northern Illinois University,Illinois,Mid-American Conference,NCAA DI,Accounting,3.20,Academic All-Conference,https://getsomemaction.com/news/2019/12/3/womens-volleyball-volleyball-names-77-to-academic-all-mac-team.aspx,12/14/19
Lina Bernier,Florida International University,Florida,Conference USA,NCAA DI,Biomedical Engineering,3.75,Commissioner's Academic Medal,https://conferenceusa.com/news/2020/5/6/general-commissioners-academic-medal-winners-recognized.aspx,5/8/20
Fabiola Plaza,Florida International University,Florida,Conference USA,NCAA DI,,3.00,Commissioner's Honor Roll,https://fiusports.com/news/2020/5/7/general-fiu-tops-c-usa-once-again-with-most-honor-roll-recipients.aspx,5/7/20
Andrea Laboy Rivera,North Carolina A&T,North Carolina,Mid-Eastern Athletic Conference,NCAA DI,Psychology / Nursing,3.00,All-Academic Team,https://meacsports.com/news/2020/6/18/general-meac-announces-2020-commissioners-all-academic-team-presented-by-geico.aspx,6/18/20
Salma González,Coppin State University,Maryland,Mid-Eastern Athletic Conference,NCAA DI,Biology,3.00,All-Academic Team,https://meacsports.com/news/2020/6/18/general-meac-announces-2020-commissioners-all-academic-team-presented-by-geico.aspx,6/18/20
Yomaries Villegas,North Carolina Central University,North Carolina,Mid-Eastern Athletic Conference,NCAA DI,Nursing,3.00,All-Academic Team,https://meacsports.com/news/2020/6/18/general-meac-announces-2020-commissioners-all-academic-team-presented-by-geico.aspx,6/18/20
Valeria Vázquez Gómez,University of Pittsburgh,Pennsylvania,Atlantic Coast Conference,NCAA DI,Rehabilitation Science,3.00,Academic Honor Roll,https://theacc.com/news/2020/6/18/athlete-awards-record-5-609-student-athletes-named-to-acc-honor-roll.aspx,6/18/20
Natalia Rivera,Long Island University,New York,Northeast Conference,NCAA DI,Biology,3.20,Academic Honor Roll,https://northeastconference.org/news/2020/1/17/GEN_NEC_Fall_Scholar_HonorRoll_19.aspx,1/22/20
Alejandra Rodríguez,Quinnipiac University,Connecticut,Metro Atlantic Athletic Conference,NCAA DI,Business Management,3.20,All-Academic Team,https://maacsports.com/news/2019/11/21/maac-announces-volleyball-all-academic-team.aspx,11/21/19
Alanis Alvarado,Saint Peter's University,New Jersey,Metro Atlantic Athletic Conference,NCAA DI,Nursing,3.20,All-Academic Team,https://maacsports.com/news/2019/11/21/maac-announces-volleyball-all-academic-team.aspx,11/21/19
Yaidelis López Jiménez,Saint Peter's University,New Jersey,Metro Atlantic Athletic Conference,NCAA DI,Biology,3.20,All-Academic Team,https://maacsports.com/news/2019/11/21/maac-announces-volleyball-all-academic-team.aspx,11/21/19
Karla Seda,Saint Peter's University,New Jersey,Metro Atlantic Athletic Conference,NCAA DI,Biology,3.20,All-Academic Team,https://maacsports.com/news/2019/11/21/maac-announces-volleyball-all-academic-team.aspx,11/21/19
Wildalys Soto,Saint Peter's University,New Jersey,Metro Atlantic Athletic Conference,NCAA DI,Biology,3.20,All-Academic Team,https://maacsports.com/news/2019/11/21/maac-announces-volleyball-all-academic-team.aspx,11/21/19
Angeleyshka Curbelo,Saint Peter's University,New Jersey,Metro Atlantic Athletic Conference,NCAA DI,Education,3.20,All-Academic Team,https://maacsports.com/news/2019/11/21/maac-announces-volleyball-all-academic-team.aspx,11/21/19
Stephanie Rivera,Saint Peter's University,New Jersey,Metro Atlantic Athletic Conference,NCAA DI,,3.20,Academic Honor Roll,https://maacsports.com/news/2020/7/20/baseball-record-number-of-student-athletes-named-to-2019-20-maac-academic-honor-roll.aspx,7/20/20
Nashally Eleutiza,Manhattan College,New York,Metro Atlantic Athletic Conference,NCAA DI,Allied Health,3.20,Academic Honor Roll,https://maacsports.com/news/2020/7/20/baseball-record-number-of-student-athletes-named-to-2019-20-maac-academic-honor-roll.aspx,7/20/20
Gina Rivera Ortiz,Tennessee State University,Tennessee,Ohio Valley Conference,NCAA DI,Health Sciences,4.00,Academic Medal of Honor,https://www.tsutigers.com/news/articles/2020-21/10083/fifteen-tsu-student-athletes-earn-academic-medal-of-honor/,8/4/20
