Date,Opponent,Outcome,S,K,E,TA,Hitting_Pctg,A,SA,SE,RE,D,BS,BA,BE,TB,BHE,PTS
09/06/2019,vs Minnesota State,L,3,0,1,2,-0.5,30,0,1,0,5,0,1,0,1,0,0.5
09/06/2019,at BARRY,L,3,0,0,0,0,21,0,0,0,10,0,0,0,0,0,0
09/07/2019,vs East Stroudsburg,L,4,4,1,7,0.429,37,0,0,0,13,0,1,0,1,0,4.5
09/07/2019,vs Saint Leo,L,4,0,0,3,0,30,0,0,0,12,0,0,1,0,1,0
9/13/2019,at Georgian Court,L,5,0,0,0,0,42,1,1,0,6,0,1,0,1,1,1.5
9/13/2019,at Wilmington (Del.),L,5,1,1,6,0,53,0,0,0,18,0,0,0,0,0,1
9/14/2019,at Jefferson,L,5,0,0,0,0,62,1,0,0,20,0,1,0,1,0,1.5
9/14/2019,at Holy Family,L,5,0,0,4,0,50,1,4,0,5,0,2,0,2,0,2
9/20/2019,vs Felician,W,3,0,0,1,0,28,1,0,0,9,0,2,0,2,1,2
9/20/2019,vs St. Anselm,L,4,0,0,6,0,45,3,1,0,14,0,3,0,3,0,4.5
9/21/2019,vs Bridgeport,L,3,0,1,2,-0.5,22,0,1,0,7,0,2,0,2,0,1
9/21/2019,vs Assumption,W,5,2,1,11,0.091,54,2,2,0,15,0,1,0,1,0,4.5
9/26/2019,vs Stonehill,L,5,1,0,2,0.5,45,0,1,1,7,0,2,0,2,2,2
9/28/2019,vs Bentley,L,3,0,1,2,-0.5,14,0,1,0,2,0,1,0,1,0,0.5
9/28/2019,at Mercy College,L,5,1,1,5,0,46,0,2,0,8,0,1,0,1,1,1.5
10/01/2019,at Southern Connecticut,W,4,1,1,3,0,40,0,0,0,21,0,1,0,1,0,1.5
10/05/2019,vs Adelphi,W,3,0,0,2,0,28,2,1,0,11,0,0,0,0,0,2
10/08/2019,vs Saint Rose,W,4,0,0,2,0,58,0,2,0,11,0,1,0,1,0,0.5
10/12/2019,Pace,W,3,1,0,1,1,27,0,1,0,10,0,2,0,2,1,2
10/19/2019,at Assumption,W,3,1,0,5,0.2,35,0,0,0,14,0,0,0,0,0,1
10/22/2019,Franklin Pierce,W,5,1,0,9,0.111,52,0,1,0,21,0,1,0,1,1,1.5
10/26/2019,Saint Michael's,W,3,1,0,4,0.25,33,1,1,0,4,0,0,0,0,0,2
10/29/2019,Le Moyne,W,3,1,0,2,0.5,36,1,2,0,6,0,1,1,1,1,2.5
11/05/2019,at Bridgeport,L,4,0,0,2,0,31,0,1,1,8,0,2,0,2,1,1
11/09/2019,Bentley,W,4,0,1,7,-0.143,55,0,1,0,9,0,2,0,2,0,1
11/15/2019,at Saint Anselm,L,5,2,2,12,0,44,1,1,0,17,0,1,0,1,1,3.5
11/16/2019,at Southern N.H.,W,5,2,0,6,0.333,49,0,1,0,16,0,2,0,2,1,3
11/19/2019,Franklin Pierce,W,4,1,0,10,0.1,54,0,1,0,12,0,5,0,5,0,3.5
11/22/2019,vs Stonehill,W,4,1,0,3,0.333,42,1,1,0,13,0,2,0,2,0,3
11/23/2019,vs Bentley,L,5,1,1,6,0,44,3,0,0,9,0,0,0,0,1,4
