Date,Opponent,Result,Wins,Losses,Cum_Wins,Cum_Losses,Matches,Winning_Pctg
09/06/2019,vs Minnesota State,L,0,1,0,1,1,0.000
09/06/2019,at BARRY,L,0,1,0,2,2,0.000
09/07/2019,vs East Stroudsburg,L,0,1,0,3,3,0.000
09/07/2019,vs Saint Leo,L,0,1,0,4,4,0.000
9/13/2019,at Georgian Court,L,0,1,0,5,5,0.000
9/13/2019,at Wilmington (Del.),L,0,1,0,6,6,0.000
9/14/2019,at Jefferson,L,0,1,0,7,7,0.000
9/14/2019,at Holy Family,L,0,1,0,8,8,0.000
9/20/2019,vs Felician,W,1,0,1,8,9,0.111
9/20/2019,vs St. Anselm,L,0,1,1,9,10,0.100
9/21/2019,vs Bridgeport,L,0,1,1,10,11,0.091
9/21/2019,vs Assumption,W,1,0,2,10,12,0.167
9/24/2019,vs New Haven,L,0,1,2,11,13,0.154
9/26/2019,vs Stonehill,L,0,1,2,12,14,0.143
9/28/2019,vs Bentley,L,0,1,2,13,15,0.133
9/28/2019,at Mercy College,L,0,1,2,14,16,0.125
10/01/2019,at Southern Connecticut,W,1,0,3,14,17,0.176
10/05/2019,vs Adelphi,W,1,0,4,14,18,0.222
10/08/2019,vs Saint Rose,W,1,0,5,14,19,0.263
10/12/2019,Pace,W,1,0,6,14,20,0.300
10/19/2019,at Assumption,W,1,0,7,14,21,0.333
10/22/2019,Franklin Pierce,W,1,0,8,14,22,0.364
10/26/2019,Saint Michael's,W,1,0,9,14,23,0.391
10/29/2019,Le Moyne,W,1,0,10,14,24,0.417
11/05/2019,at Bridgeport,L,0,1,10,15,25,0.400
11/09/2019,Bentley,W,1,0,11,15,26,0.423
11/15/2019,at Saint Anselm,L,0,1,11,16,27,0.407
11/16/2019,at Southern N.H.,W,1,0,12,16,28,0.429
11/19/2019,Franklin Pierce,W,1,0,13,16,29,0.448
11/22/2019,vs Stonehill,W,1,0,14,16,30,0.467
11/23/2019,vs Bentley,L,0,1,14,17,31,0.452
