Date,Opponent,Outcome,S,K,E,TA,Hitting_Pctg,A,SA,SE,RE,D,BS,BA,BE,TB,BHE,PTS
9/6/2019,vs Minnesota State,L,3,13,8,33,0.152,0,2,1,1,6,2,0,0,2,0,17
9/6/2019,at BARRY,L,3,12,8,45,0.089,0,0,1,0,13,0,1,0,1,0,12.5
9/7/2019,vs East Stroudsburg,L,4,16,12,56,0.071,1,1,1,0,19,0,1,0,1,0,17.5
9/7/2019,vs Saint Leo,L,4,11,9,40,0.05,2,1,1,2,7,0,0,0,0,0,12
9/13/2019,at Georgian Court,L,5,31,8,58,0.397,1,1,1,1,10,0,1,0,1,0,32.5
09/13/2019,at Wilmington (Del.),L,5,28,4,74,0.324,0,1,1,3,11,0,0,0,0,0,29
09/14/2019,at Jefferson,L,5,27,9,63,0.286,0,3,1,2,14,0,1,1,1,0,30.5
09/14/2019,at Holy Family,L,5,26,4,62,0.355,0,3,2,6,10,0,0,0,0,0,29
09/20/2019,vs Felician,W,3,14,4,36,0.278,0,3,0,0,17,0,1,0,1,0,17.5
09/20/2019,vs St. Anselm,L,4,14,9,47,0.106,0,3,0,4,14,0,0,0,0,0,17
09/21/2019,vs Bridgeport,L,3,6,5,26,0.038,0,1,0,2,8,0,0,0,0,0,7
9/21/2019,vs Assumption,W,5,17,5,48,0.25,0,0,1,0,28,0,0,0,0,0,17
9/24/2019,vs New Haven,L,4,17,7,50,0.2,1,0,1,2,18,0,1,0,1,0,17.5
9/26/2019,vs Stonehill,L,5,12,8,40,0.1,0,1,2,0,19,0,2,0,2,0,14
9/28/2019,vs Bentley,L,3,6,1,23,0.217,1,0,2,0,15,0,1,0,1,0,6.5
9/28/2019,at Mercy College,L,4,21,4,40,0.425,0,3,3,2,5,0,0,0,0,0,24
10/1/2019,at Southern Connecticut,W,4,13,4,35,0.257,0,1,2,5,18,0,0,0,0,0,14
10/05/2019,vs Adelphi,W,3,11,4,27,0.259,0,2,3,0,15,0,3,0,3,0,14.5
10/08/2019,vs Saint Rose,W,4,26,5,55,0.382,0,0,2,1,5,0,1,0,1,0,26.5
10/12/2019,Pace,W,3,12,2,28,0.357,0,1,3,0,6,0,0,0,0,0,13
10/19/2019,at Assumption,W,3,17,4,34,0.382,0,0,2,0,14,0,0,0,0,0,17
10/22/2019,Franklin Pierce,W,5,18,13,64,0.078,0,9,2,2,21,1,1,0,2,0,28.5
10/26/2019,Saint Michael's,W,3,12,1,18,0.611,1,4,3,0,5,0,0,0,0,0,16
10/29/2019,Le Moyne,W,3,16,5,37,0.297,1,2,4,0,7,0,0,0,0,0,18
11/5/2019,at Bridgeport,L,4,17,8,49,0.184,1,3,2,1,15,0,0,1,0,0,20
11/9/2019,Bentley,W,4,23,5,52,0.346,0,1,4,0,22,0,0,0,0,0,24
11/15/2019,at Saint Anselm,L,5,20,9,57,0.193,3,2,1,1,11,0,1,0,1,0,22.5
11/16/2019,at Southern N.H.,W,5,20,9,57,0.193,1,0,4,1,17,0,1,1,1,0,20.5
11/19/2019,Franklin Pierce,W,4,27,9,57,0.316,1,2,3,1,11,2,1,0,3,0,31.5
11/22/2019,vs Stonehill,W,4,17,3,39,0.359,0,2,2,2,11,0,4,0,4,0,21
11/23/2019,vs Bentley,L,5,13,13,49,0,0,3,3,1,22,0,1,0,1,0,16.5
11/10/2018,vs Southern Conn. State,L,3,11,2,23,0.391,1,1,4,7,0,0,0,0,0,11,
11/14/2018,vs Daemen,W,3,10,2,26,0.308,0,1,0,6,0,0,0,0,0,15,
11/16/2018,at Adelphi,W,4,18,8,53,0.189,2,2,1,16,0,1,0,1,0,19.5,
11/17/2018,vs Holy Family,W,3,10,1,30,0.3,0,1,1,11,0,1,0,1,0,10.5,
11/29/2018,vs Tampa,L,3,9,7,35,0.057,0,1,1,3,0,1,0,1,0,12.5,
