Rank,Player,School,Cl,Ht,Pos,S,Digs
1,Taylor Horsfall,Tulsa (AAC),Sr.,5-8,L/DS,132,805
2,Katie Forsythe,Loyola Maryland (Patriot),So.,5-7,L,122,753
3,Yumi Garcia,Charlotte (C-USA),Sr.,5-0,L/DS,112,725
4,Katie Karbo,Houston (AAC),Sr.,5-5,L/DS,141,711
5,Gabriela Macedo,Evansville (MVC),Sr.,5-7,L,117,704
6,Jenna Story,Wright St. (Horizon),So.,5-7,L/DS,111,692
7,Julia WALZ,Bowling Green (MAC),So.,5-2,L,122,677
8,Abby Bottomley,High Point (Big South),Jr.,5-6,DS,122,673
9,Rylee Cookerly,Valparaiso (MVC),Jr.,5-2,L,127,667
10,Addison Miller,Sam Houston St. (Southland),Sr.,5-9,L/DS,134,666
11,Allyssa Rizzo,Montana St. (Big Sky),Sr.,5-6,L/DS,112,654
12,Abbi Staack,UNI (MVC),Sr.,5-8,DS,129,642
12,Morgan Williams,Fordham (Atlantic 10),Sr.,5-8,L/DS,106,642
14,Tara Beilsmith,Southeast Mo. St. (OVC),Fr.,5-7,DS,129,641
15,Rocio Moro,North Florida (ASUN),Fr.,5-5,L/DS,126,633
16,Madelyn St. Germain,UT Arlington (Sun Belt),Jr.,5-6,L,127,620
17,Maddy Moser,Loyola Chicago (MVC),Sr.,5-6,L/DS,120,612
18,Anne Rasmussen,South Dakota (Summit League),Sr.,5-4,DS,123,607
18,Ellie Snook,Portland St. (Big Sky),Fr.,5-7,L/DS,111,607
20,Ashton Terrill,Northern Ky. (Horizon),Jr.,5-8,L/DS,123,606
21,Morgan Hentz,Stanford (Pac-12),Sr.,5-9,L,120,603
22,Meagan Sanchez,Western Caro. (SoCon),Sr.,5-2,L,110,602
23,Kathleen Reilly,Western Mich. (MAC),Sr.,5-5,L/DS,112,601
24,Megan Klavitter,Chicago St. (WAC),Sr.,5-3,DS,111,597
25,Madelynn Miller,SFA (Southland),Jr.,5-3,L/DS,112,595
26,Erin Gardner,Kent St. (MAC),So.,5-5,L/DS,113,594
27,Carissa Barnes,A&M-Corpus Christi (Southland),Fr.,5-7,OH,117,590
28,Kate Avila,Ball St. (MAC),Sr.,5-6,DS,126,589
28,Kylee Macke,Drake (MVC),Jr.,5-6,DS,121,589
30,Rachael Crucis,Purdue Fort Wayne (Summit League),Fr.,5-2,L,126,585
31,Emily Doss,Central Ark. (Southland),Jr.,5-5,L/DS,124,578
31,Megan Kern,Central Mich. (MAC),Sr.,5-6,DS,113,578
33,Jess Grabowski,Milwaukee (Horizon),So.,5-4,DS,115,576
34,Dana Axner,FGCU (ASUN),So.,5-8,L,105,574
35,Skyla Childs,Prairie View (SWAC),Fr.,5-5,DS,135,573
36,Ginny Gerig,Austin Peay (OVC),Sr.,5-5,L,117,572
37,Kaylie McHugh,Tulane (AAC),Sr.,5-6,L,130,567
38,Isabelle Banez,DePaul (Big East),Jr.,5-6,L/DS,120,566
39,Courtney Leffel,Arizona St. (Pac-12),Sr.,5-5,L/DS,124,565
39,Karla Seda,Saint Peter's (MAAC),Jr.,5-2,L,109,565
41,Laura Rojas,Southern Ill. (MVC),Sr.,5-4,L,123,564
42,Rachelle Runyon,Rider (MAAC),Sr.,5-4,DS,115,563
43,Madi Fields,Wyoming (Mountain West),Sr.,5-6,L,119,561
43,Claire Mountjoy,Omaha (Summit League),Jr.,5-5,L/DS,129,561
45,Kylie Murr,Ohio St. (Big Ten),Fr.,5-6,DS,114,559
46,Bree Long,Canisius (MAAC),Fr.,5-5,L,120,558
47,Nicole Purcell,Ole Miss (SEC),Sr.,5-9,L/DS,117,555
48,Macy Phillips,Liberty (ASUN),Jr.,5-7,DS,121,552
48,Alana Washington,Jackson St. (SWAC),Fr.,5-5,DS,130,552
50,Hannah Thompson,Bradley (MVC),So.,5-8,OH,119,551
51,Natalie Wehner,Jacksonville (ASUN),Sr.,5-9,L/DS,116,550
52,Montana Watts,SMU (AAC),Sr.,5-5,L,106,549
53,Megan Lohmiller,Northwestern St. (Southland),Sr.,5-8,L,119,548
54,Brittany Witt,Creighton (Big East),Sr.,5-8,L/DS,107,545
55,Emma Reilly,Appalachian St. (Sun Belt),Jr.,5-6,L/DS,116,542
56,Karlee Groover,Kennesaw St. (ASUN),Jr.,5-8,L/DS,115,541
56,Elizabeth LaBue,Butler (Big East),So.,5-7,L/DS,115,541
58,Melina Tedrow,Indiana St. (MVC),So.,5-3,L/DS,103,540
59,Alejandra Rodriguez,Quinnipiac (MAAC),Sr.,5-4,L,114,539
60,Ana Oglivie,Army West Point (Patriot),Jr.,5-6,L,116,537
61,Alexis Dirige,Washington St. (Pac-12),Sr.,5-2,DS,123,535
61,Ashlyn Eisenga,Central Conn. St. (NEC),Jr.,5-6,L,113,535
63,Lina Bernier,FIU (C-USA),Sr.,5-11,OH,103,530
63,Shayla Eugene,Bethune-Cookman (MEAC),Sr.,5-4,DS,118,530
65,Regan Lough,Villanova (Big East),Sr.,5-6,L,112,528
66,Grace Massey,Oregon St. (Pac-12),Jr.,5-5,DS,122,525
67,Carey Williams,Portland (WCC),Jr.,5-7,L/DS,107,523
68,Halle Johnston,Iowa (Big Ten),Jr.,5-10,DS,115,521
69,Erin Eulitz,Presbyterian (Big South),Sr.,5-10,OH,103,520
69,Becca Fernandez,Murray St. (OVC),Jr.,5-2,L/DS,102,520
69,Kristen Largay,American (Patriot),Sr.,5-7,L,118,520
72,Martha Konovodoff,Marquette (Big East),Jr.,5-7,DS,122,518
73,Gabby Curry,Kentucky (SEC),Jr.,5-8,DS,114,514
73,Allison Whitten,Morehead St. (OVC),So.,5-8,DS,119,514
75,Savahna Costello,Cal St. Fullerton (Big West),Jr.,5-6,L/DS,95,513
76,Emersen Belles,Alabama St. (SWAC),Fr.,5-8,L/DS,134,508
76,Jadyn Tubbs,Pacific (WCC),So.,5-5,L,120,508
78,Logan Mosley,Virginia Tech (ACC),Fr.,5-6,L/DS,120,507
79,Keyton Kinley,Oklahoma (Big 12),Jr.,5-5,DS,105,506
80,Miranda Karlen,Northern Ill. (MAC),Jr.,5-6,L/DS,106,505
81,Kizzy Rodriguez,St. Francis Brooklyn (NEC),So.,5-4,L,108,503
82,Nashally Eleutiza,Manhattan (MAAC),Jr.,5-8,L/DS,115,502
82,Jordyn Klein,SIUE (OVC),Jr.,5-4,DS,112,502
84,Helena Khouri,Weber St. (Big Sky),Sr.,5-7,L,133,500
84,Madison Lawler,Southern Miss. (C-USA),Jr.,5-7,L/DS,100,500
84,Shayne McPherson,Washington (Pac-12),Sr.,5-6,L,133,500
87,Brandee Markwith,East Carolina (AAC),Sr.,5-8,L/DS,113,499
88,Amber Weber,Marshall (C-USA),Sr.,5-4,L/DS,101,498
88,Nikolette Zanolli,Robert Morris (NEC),So.,5-6,L/DS,107,498
90,Samaret Caraballo,UTRGV (WAC),Jr.,5-10,L,114,497
90,Lee Ann Cunningham,Rice (C-USA),Sr.,5-7,DS,108,497
92,Andie Hanus,Delaware (CAA),Sr.,5-8,L/DS,104,495
92,Logan Manusky,Col. of Charleston (CAA),Jr.,5-9,OH,102,495
94,Maura Collins,Dayton (Atlantic 10),So.,5-6,L/DS,114,493
