Player,Institution,State,Division,Photo
Eva Torruella,Tulane University,Louisiana,NCAA DI,Parker Waters
Lina Bernier,Florida International University,Florida,NCAA DI,FIU Athletics
Solimar Cestero,University of North Florida,Florida,NCAA DI,University of North Florida
Angelie Rosario,University of North Florida,Florida,NCAA DI,University of North Florida
Génesis Benítez,University of North Alabama,Alabama,NCAA DI,Matt McKean
Génesis Benítez,University of North Alabama,Alabama,NCAA DI,Matt McKean
Joise Maldonado,University of North Alabama,Alabama,NCAA DI,Joseph Romans
Joise Maldonado,University of North Alabama,Alabama,NCAA DI,Joseph Romans
Alejandra Negrón,Cal State University Los Angeles,California,NCAA DII,Robert Huskey
Jeshmarie Suárez,Cal State University Los Angeles,California,NCAA DII,Robert Huskey
Alejandra Negrón & Karla Santos,Cal State University Los Angeles,California,NCAA DII,Robert Huskey
Alejandra Negrón & Karla Santos 2,Cal State University Los Angeles,California,NCAA DII,Robert Huskey
Alejandra Negrón & Karla Santos 3,Cal State University Los Angeles,California,NCAA DII,Robert Huskey
Karla Santos & Alejandra Negrón,Cal State University Los Angeles,California,NCAA DII,Robert Huskey
Alejandra Suárez,Ave Maria University,Florida,NAIA,Ave Maria University Athletics
Keniah Rivera,Southeastern University,Florida,NAIA,Southeastern University
