Player_Name,Number,Category,Rank,Conference,Institution,State,Division,Position,Photo
Biancaliz Cruz,46,aces,1,The Sun Conference,Florida Memorial University,Florida,NAIA,OH / RSH,FMU Athletics
Keishla Reyes,66,aces,1,Kansas Collegiate Athletic Conference,University of Saint Mary,Kansas,NAIA,DS / L, University of Saint Mary Athletics Department
Jennifer Torres,46,aces,3,Gulf Coast Athletic Conference,Xavier University of Louisiana,Louisiana,NAIA,DS / L,Yamlak Tsega
Yorelis Ríos González,37,aces,4,The Sun Conference,College of Coastal Georgia,Georgia,NAIA,DS / L,Coastal Georgia Athletics
Lia Aime,49,aces,6,Association of Independent Institutions,Fisher College,Massachusetts,NAIA,DS / L,Fisher College Athletics
Karla Santos,52,aces,1,California Collegiate Athletic Association,Cal State University Los Angeles,California,NCAA DII,OH / RSH,Robert Huskey
Alejandra Negrón,43,aces,3,California Collegiate Athletic Association,Cal State University Los Angeles,California,NCAA DII,OH / RSH,Robert Huskey
Junelly Marrero,44,aces,8,Central Atlantic Collegiate Conference,Bloomfield College,New Jersey,NCAA DII,DS / L,Bloomfield College Athletics
Kiana Pérez Díaz,71,aces,1,Great Northeast Athletic Conference,Lasell University,Massachusetts,NCAA DIII,OH / RSH,Lasell University Athletics
Victoria Alomar,82,aces,2,Little East Conference,Western Connecticut State University,Connecticut,NCAA DIII,DS / L,WCSU Athletics
Ivanella Figueroa,56,aces,3,Colonial States Athletic Conference,Notre Dame of Maryland University,Maryland,NCAA DIII,DS / L,NDMU Athletics
Vianca Vital,64,aces,3,Skyline Conference,Manhattanville College,New York,NCAA DIII,Setter,Mike McLaughlin
Paola Sanabria López,0.30,aces/set,1,Kansas Collegiate Athletic Conference,Bethany College,Kansas,NAIA,OH / RSH,Bethany College Athletics
Katherine Rodríguez,1.16,aces/set,2,Association of Independent Institutions,Fisher College,Massachusetts,NAIA,Setter,Fisher College Athletics
Emileishka de Jesús,0.38,aces/set,5,Chicagoland Collegiate Athletic Conference,Indiana University Northwest,Indiana,NAIA,OH / RSH,Indiana University Northwest
Nerealice Quirindongo Torres,0.43,aces/set,5,Gulf Coast Athletic Conference,Edward Waters College,Florida,NAIA,OH / RSH,Edward Waters College Athletcs
Kizzy Rodríguez,0.44,aces/set,2,Northeast Conference,St. Francis College,New York,NCAA DI,DS / L,St. Francis Brooklyn College Athletics
Jasmal Cruz,0.44,aces/set,5,Mid-Eastern Athletic Conference,Delaware State University,Delaware,NCAA DI,DS / L,Delaware State University Athletics
Anadys Valentín,0.37,aces/set,9,Mid-Eastern Athletic Conference,Delaware State University,Delaware,NCAA DI,OH / RSH,Delaware State University Athletics
Andrea Serra,0.44,aces/set,4,Northeast-10 Conference,American International College,Massachusetts,NCAA DII,OH / RSH,RJB Sports
Carolina Robles,0.60,aces/set,2,USA South Athletic Conference,Berea College,Kentucky,NCAA DIII,OH / RSH,Berea College Athletics
Francheska Rivera,608,assists,6,The Sun Conference,Florida Memorial University,Florida,NAIA,Setter,FMU Athletics
Ellisangi Matos Torres,633,assists,10,Kansas Collegiate Athletic Conference,Oklahoma Wesleyan University,Oklahoma,NAIA,Setter,Oklahoma Wesleyan University
Kelly Negrón,884,assists,3,Big West Conference,University of California Irvine,California,NCAA DI,Setter,University of California Board of Regents
Naomi Eckert,1208,assists,1,Northeast-10 Conference,American International College,Massachusetts,NCAA DII,Setter,RJB Sports
Michelle Henwood,1072,assists,2,Northeast-10 Conference,Saint Anselm College,New Hampshire,NCAA DII,Setter,Saint Anselm Athletics
