Date,Match_Result,Combined Kills,Combined Errors,Combined Attempts,Combined_Hitting_Pctg,Kills in Losses,Errors in Losses,Attempts in Losses,,Kills in Wins,Errors in Wins,Attempts in Wins
09/06/2019,L,30,10,90,0.222,30,10,90,,0,0,0
09/06/2019,W,21,9,62,0.194,0,0,0,,21,9,62
09/07/2019,L,25,14,80,0.138,25,14,80,,0,0,0
9/10/2019,W,22,11,77,0.143,0,0,0,,22,11,77
9/13/2019,W,43,11,98,0.327,0,0,0,,43,11,98
9/14/2019,W,34,7,88,0.307,0,0,0,,34,7,88
9/14/2019,W,53,16,146,0.253,0,0,0,,53,16,146
9/17/2019,W,26,6,70,0.286,0,0,0,,26,6,70
9/20/2019,W,18,14,68,0.059,0,0,0,,18,14,68
9/20/2019,W,20,6,77,0.182,0,0,0,,20,6,77
9/21/2019,W,26,8,80,0.225,0,0,0,,26,8,80
9/27/2019,L,34,13,111,0.189,34,13,111,,0,0,0
9/28/2019,W,35,8,91,0.297,0,0,0,,35,8,91
9/30/2019,W,33,15,96,0.188,0,0,0,,33,15,96
10/04/2019,W,33,16,119,0.143,0,0,0,,33,16,119
10/05/2019,L,8,8,54,0.000,8,8,54,,0,0,0
10/11/2019,L,36,13,124,0.185,36,13,124,,0,0,0
10/18/2019,W,24,9,69,0.217,0,0,0,,24,9,69
10/19/2019,W,27,12,93,0.161,0,0,0,,27,12,93
10/25/2019,L,33,12,97,0.216,33,12,97,,0,0,0
10/26/2019,L,39,15,100,0.240,39,15,100,,0,0,0
11/01/2019,L,15,15,64,0.000,15,15,64,,0,0,0
11/02/2019,L,25,11,80,0.175,25,11,80,,0,0,0
11/04/2019,L,37,13,120,0.200,37,13,120,,0,0,0
11/08/2019,W,24,9,69,0.217,0,0,0,,24,9,69
11/15/2019,W,51,7,110,0.400,0,0,0,,51,7,110
11/16/2019,L,36,16,149,0.134,36,16,149,,0,0,0
11/22/2019,L,9,4,30,0.167,9,4,30,,0,0,0
11/23/2019,L,12,6,30,0.200,12,6,30,,0,0,0
11/28/2019,L,10,7,55,0.055,10,7,55,,0,0,0
,,,,,,,,,,,,
,,,,,,349,157,1184,,490,164,1413
,,,,,,,,16.22%,,,,23.07%
