Atleta,Institución,Pueblo,Liga,División,Foto
Alejandra Camila Silva,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Liga Atlética Interuniversitaria
Arianna Rodríguez,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Camila Arvelo,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Camila Arvelo,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Camila Arvelo,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Camila Arvelo,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Camila Arvelo & Gabriela Ramos,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Camila Arvelo & Gabriela Ramos,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Gabriela Ramos,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Gabriela Ramos,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Gabriela Ramos,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Johanna Bautista,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Jovyrelis Ayala & Johanna Bautista,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Jovyrelis Ayala,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Jovyrelis Ayala,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Jovyrelis Ayala,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Khris Justiniano,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Khris Justiniano,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
María Fernanda López,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Liga Atlética Interuniversitaria
María Fernanda López,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
María López & Khris Justiniano,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Natasha Román,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Natasha Román,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Natasha Román,Recinto Universitario de Mayagüez,Mayagüez,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
