Atleta,Institución,Pueblo,Liga,División,Foto
Addylinette Castro,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Adriana Vázquez,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Cristal Tirado,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Cristal Tirado,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Gretchen Bibiloni,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Gretchen Bibiloni,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Jerezanas,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Marienid Tirado,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Marienid Tirado,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Marienid Tirado,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Paulina Barreto & Adriana Vázquez,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Paulina Barreto & Jovyrelis Ayala (R.U.M.) & Stephanie Rivera,R.U.R.P. (San Juan) | R.U.M. (Mayagüez),,Liga Atlética Interuniversitaria,NCAA DII,Huella Deportiva
Sanilka Matías,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Sanilka Matías,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Sanilka Matías,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
Stephanie Rivera,Recinto Universitario de Río Piedras,San Juan,Liga Atlética Interuniversitaria,NCAA DII,IUPI Al Día
