Atleta,Institución,Pueblo,Liga,División,Foto
Alejandra Argüello,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Karelys Otero,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Karelys Otero,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Kendra Rosario,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Kimelix González,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Lisse Mar Rivera,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Luarelis Rodríguez,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Luarelis Rodríguez,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Ninoshka Vázquez,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Paola Reyes,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Solaymee Benítez,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
Taínas,Universidad Ana G Méndez,San Juan,Liga Atlética Interuniversitaria,,Deportes UAGM
