Player,Institution,State,Division,Photo
Alejandra Suárez,Ave Maria University,Florida,NAIA,Ave Maria Athletics
Paola Sanabria,Bethany College,Kansas,NAIA,Bethany College Athletics
Luisa Ramírez,Briar Cliff University,Iowa,NAIA,Briar Cliff University Athletics
Gardieliz Laureano,College of Coastal Georgia,Georgia,NAIA,Coastal Georgia Athletics
Yorelis Ríos & Gardieliz Laureano,College of Coastal Georgia,Georgia,NAIA,Coastal Georgia Athletics
Yorelis Ríos,College of Coastal Georgia,Georgia,NAIA,Coastal Georgia Athletics
Adianez Rivera,Columbia College,Missouri,NAIA,Claire Hassler
Nerealice Quirindongo,Edward Waters College,Florida,NAIA,Edward Waters College Athletcs
Charisse Lazú,Fisher College,Massachusetts,NAIA,Fisher College Athletics
Katherine Rodríguez,Fisher College,Massachusetts,NAIA,Fisher College Athletics
Lia Aime,Fisher College,Massachusetts,NAIA,Fisher College Athletics
Lia Aime & Katherine Rodríguez,Fisher College,Massachusetts,NAIA,Fisher College Athletics
Adriana Soto & Sammyra Albarrán & Francheska Rivera,Florida Memorial University,Florida,NAIA,FMU Athletics
Francheska Rivera,Florida Memorial University,Florida,NAIA,FMU Athletics
Francheska Rivera & Keisha Santana & Sammyra Albarrán,Florida Memorial University,Florida,NAIA,FMU Athletics
Jessenia Bonilla & Sammyra Albarrán,Florida Memorial University,Florida,NAIA,FMU Athletics
Keisha Santana,Florida Memorial University,Florida,NAIA,FMU Athletics
Sammyra Albarrán,Florida Memorial University,Florida,NAIA,FMU Athletics
Emileishka de Jesús,Indiana University Northwest,Indiana,NAIA,Indiana University Northwest
Stephanie Sánchez,Keiser University,Florida,NAIA,Keiser University Athletics
Gabriela Martínez,Loyola University New Orleans,Louisiana,NAIA,LUNO Wolf Pack Athletics
Karina Lozada,St. Andrews University,North Carolina,NAIA,St. Andrews Knights Athletics
Amanda Allende,St. Thomas University,Florida,NAIA,Michelle Murch
Gilmary Ramos,Webber International University,Florida,NAIA,Webber Warriors Athletics
