Player,Year,Position,Height,Major,Major_Category,Link,Hometown,High_School,High_School_in_PR,Institution,State,Institution_Link,Conference,Division
Gregna Fuentes,So.,S,5-4,Education,Social Sciences,http://www.montreatcavaliers.com/roster/42/5/5685.php,San Juan,Dr. Phillips High School,N,Montreat College,North Carolina,http://www.montreatcavaliers.com/sport/0/5,Appalachian Athletic Conference,NAIA
Katirya Hernández Martínez,So.,DS,5-6,Education,Social Sciences,http://www.sauknights.com/sport/volleyball/roster/katirya-hernandez-martinez,Toa Alta,Wagner High School,N,St. Andrews University,North Carolina,http://www.sauknights.com/sport/volleyball,Appalachian Athletic Conference,NAIA
Adriana Santiago,So.,S,5-3,Business Administration,Business,http://www.sauknights.com/sport/volleyball/roster/adriana-santiago,Cabo Rojo,Colegio San Agustín de Cabo Rojo,Y,St. Andrews University,North Carolina,http://www.sauknights.com/sport/volleyball,Appalachian Athletic Conference,NAIA
Karina Lozada,Jr.,DS/L,5-0,Biology,S.T.E.M.,http://www.sauknights.com/sport/volleyball/roster/karina-lozada,Bayamón,Emadrian Bilingual School,Y,St. Andrews University,North Carolina,http://www.sauknights.com/sport/volleyball,Appalachian Athletic Conference,NAIA
Stephanie Sánchez,So.,L,5-3,Biomedicine,S.T.E.M.,https://kuseahawks.com/sports/womens-volleyball/roster/stephanie-sanchez/3625,San Juan,Colegio La Piedad,Y,Keiser University,Florida,https://kuseahawks.com/index.aspx?path=wvball,The Sun Conference,NAIA
Gardieliz Laureano Andújar,Jr.,S,5-6,Psychology,Social Sciences,http://www.coastalgeorgiasports.com/roster/18/10/1596.php,Corozal,East Bay High School,N,College of Coastal Georgia,Georgia,http://www.coastalgeorgiasports.com/sport/0/10,The Sun Conference,NAIA
Yorelis Ríos González,Sr.,L,5-3,Health Sciences,Health and Medicine,http://www.coastalgeorgiasports.com/roster/18/10/1531.php,Barranquitas,Academia Santa Teresita,Y,College of Coastal Georgia,Georgia,http://www.coastalgeorgiasports.com/sport/0/10,The Sun Conference,NAIA
Keisha Santana Roldán,Jr.,L,5-0,Early Childhood Education,Social Sciences,https://fmuathletics.com/roster.aspx?rp_id=1324&path=wvball,Juncos,Escuela Isabel Flores Hernández,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Adriana Soto,Fr.,OH/RSH,,,,https://fmuathletics.com/roster.aspx?rp_id=1325&path=wvball,Guaynabo,Christian Military Academy,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Biancaliz Cruz,Fr.,OH/RSH,5-11,Biology,S.T.E.M.,https://fmuathletics.com/roster.aspx?rp_id=1326&path=wvball,Caguas,Colegio Radians,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Francheska Rivera,Jr.,S,,Biology,S.T.E.M.,https://fmuathletics.com/roster.aspx?rp_id=1322&path=wvball,San Juan,Escuela del Deporte de San Juan,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Jesennia Bonilla,Jr.,Opp,5-9,Biology,S.T.E.M.,https://fmuathletics.com/roster.aspx?rp_id=1317&path=wvball,Ceiba,Colegio Héctor Urdaneta,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Marianne Negrón,Fr.,MB,,Social Work,Social Sciences,https://fmuathletics.com/roster.aspx?rp_id=1329&path=wvball,Loíza,Saint Francis School,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Sammyra Albarrán,Jr.,OH,5-7,Education,Social Sciences,https://fmuathletics.com/roster.aspx?rp_id=1318&path=wvball,San Germán,Academia de la Inmaculada Concepción,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Alanis Santana,Jr.,S,,Biology,S.T.E.M.,https://fmuathletics.com/roster.aspx?rp_id=1320&path=wvball,Bayamón,Colegio De La Salle,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Sofía Adorno,Jr.,RSH,5-8,Marketing,Business,https://stubobcats.com/sports/womens-volleyball/roster/sofia-adorno/4719,San Juan,Colegio Santa Rosa,Y,St. Thomas University,Florida,https://stubobcats.com/index.aspx?path=wvball,The Sun Conference,NAIA
Amanda Allende,Fr.,OH,5-6,,,https://stubobcats.com/sports/womens-volleyball/roster/amanda-allende/4707,,Chaminade Madinna College Prep,N,St. Thomas University,Florida,https://stubobcats.com/index.aspx?path=wvball,The Sun Conference,NAIA
Alejandra Suárez,So.,DS/L,5-7,,,https://avemariagyrenes.com/sports/womens-volleyball/roster/alejandra-suarez/3911,Gurabo,Colegio Bautista de Caguas,Y,Ave Maria University,Florida,https://avemariagyrenes.com/index.aspx?path=wvball,The Sun Conference,NAIA
Nayrelis Pantoja Santos,Sr.,DS/L,5-6,Criminal Justice Management,Public and Social Services,https://webberathletics.com/sports/womens-volleyball/roster/nayrelis-pantoja-santos/6829,Vega Baja,Christian Military Academy,Y,Webber International University,Florida,https://webberathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Gilmary Ramos,Sr.,DS/S,5-3,Criminal Justice Management,Public and Social Services,https://webberathletics.com/sports/womens-volleyball/roster/gilmary-ramos/6831,Bayamón,Lake Nona High School,N,Webber International University,Florida,https://webberathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Nayelis Alvarado,Fr.,OH,5-11,Criminal Justice,Public and Social Services,https://northmiami.jwuathletics.com/sports/wvball/2019-20/bios/alvarado_nayelis_sm8s?view=bio,Ciales,Harmony High School,N,Johnson Wales University - North Miami,Florida,https://northmiami.jwuathletics.com/sports/wvball/index,The Sun Conference,NAIA
Paola Sanabria López,Jr.,OH,6-1,,,http://www.bethanyswedes.com/roster/18/1/10210.php,Rincón,Christian Military Academy,Y,Bethany College,Kansas,http://www.bethanyswedes.com/sport/0/1,Kansas Collegiate Athletic Conference,NAIA
Natalie Tricoche,Jr.,DS,5-6,,,http://www.bethanyswedes.com/roster/18/1/10212.php,San Juan,Academia San Jorge,Y,Bethany College,Kansas,http://www.bethanyswedes.com/sport/0/1,Kansas Collegiate Athletic Conference,NAIA
Ellisangi Matos Torres,Sr.,S,5-3,,,https://www.okwu.edu/athletics/womens-volleyball/roster/,Río Grande,,N,Oklahoma Wesleyan University,Oklahoma,https://www.okwu.edu/athletics/team/womens-volleyball/,Kansas Collegiate Athletic Conference,NAIA
Keishla Reyes,Jr.,OH,5-8,,,http://www.gospires.com/roster/26/14/5495,Bayamón,Samuel Clemens High School,N,University of Saint Mary,Kansas,http://www.gospires.com/sport/0/14,Kansas Collegiate Athletic Conference,NAIA
Gabriella Gracia Badillo,Jr.,S,5-6,Business,Business,https://ramsports.net/sports/womens-volleyball/roster/gabriella-gracia-badillo/5668,Trujillo Alto,Colegio San Antonio,Y,Texas Wesleyan University,Texas,https://ramsports.net/index.aspx?path=wvball,Sooner Athletic Conference,NAIA
Nashali Cruz,Jr.,OH,5-8,Biology,S.T.E.M.,http://www.statesmenathletics.com/roster/23/9/16781.php,Bayamón,Academia Discípulos de Cristo,Y,William Penn University,Iowa,http://www.statesmenathletics.com/sport/0/9,Heart of America Athletic Conference,NAIA
Gabriela Martínez,So.,OH,5-9,International Business,Business,http://www.loyolawolfpack.com/roster/16/16/2897.php,San Juan,Academia María Reina,Y,Loyola University New Orleans,Louisiana,http://www.loyolawolfpack.com/index.php,Southern States Athletic Conference,NAIA
Angélica Monteagudo Jusino,So.,MB/Opp,5-11,,,http://www.wearefc.com/roster/6/7/551.php,Mayagüez,Cabo Rojo Christian Academy,Y,Florida College,Florida,http://www.wearefc.com/sport/0/7,Southern States Athletic Conference,NAIA
Luisa Ramírez Huertas,Jr.,DS,5-9,,,https://bcuchargers.com/sports/womens-volleyball/roster/luisa-ramirez-huertas/12538,Guaynabo,Colegio Lourdes,Y,Briar Cliff University,Iowa,https://bcuchargers.com/index.aspx?path=wvball,Great Plains Athletic Conference,NAIA
Emileishka de Jesús,So.,OH,5-5,Radiology,S.T.E.M.,http://www.iunredhawkathletics.com/roster/17/4/1089.php,Guaynabo,Portage High School,N,Indiana University Northwest,Indiana,http://www.iunredhawkathletics.com/sport/0/4,Chicagoland Collegiate Athletic Conference,NAIA
Yeryvel Catalá,So.,OH,5-6,,,https://upikebears.com/sports/womens-volleyball/roster/yeryvel-catala/5683,Gurabo,Caguas Private School,Y,University Of Pikeville,Kentucky,https://upikebears.com/index.aspx?path=wvball,Mid-South Conference,NAIA
Adianez Rivera,Jr.,OH,5-9,,,https://columbiacougars.com/sports/womens-volleyball/roster/adianez-rivera/1584,Carolina,,N,Columbia College,Missouri,https://columbiacougars.com/index.aspx?path=wvball,American Midwest Conference,NAIA
Katherine Rodríguez,Fr.,S,5-4,,,https://www.fisherfalcons.com/sports/wvball/2019-20/bios/rodriguez_katherine_19gv?view=profile,Fajardo,Colegio Héctor Urdaneta,Y,Fisher College,Massachusetts,https://www.fisherfalcons.com/sports/wvball/index,Association of Independent Institutions,NAIA
Lia Aime,Jr.,L,5-0,,,https://www.fisherfalcons.com/sports/wvball/2019-20/bios/aime_lia_5ohc,Las Piedras,Colegio Nuestra Señora del Perpetuo Socorro,Y,Fisher College,Massachusetts,https://www.fisherfalcons.com/sports/wvball/index,Association of Independent Institutions,NAIA
Natalia Ortiz Arce,So.,RSH,5-7,,,https://www.fisherfalcons.com/sports/wvball/2019-20/bios/ortiz-arce_natalia_r22n?view=profile,Humacao,Colegio San Antonio Abad,Y,Fisher College,Massachusetts,https://www.fisherfalcons.com/sports/wvball/index,Association of Independent Institutions,NAIA
Charisse Lazú,Fr.,MB,5-7,,,https://www.fisherfalcons.com/sports/wvball/2019-20/bios/lazu_charisse_5hx4,Trujillo Alto,Escuela del Deporte de San Juan,Y,Fisher College,Massachusetts,https://www.fisherfalcons.com/sports/wvball/index,Association of Independent Institutions,NAIA
Wandy Cruz,So.,,5-4,,,https://www.fnu.edu/athletics/player/wandy-cruz/,Carolina,The Conrad Academy,N,Florida National University,Florida,https://www.fnu.edu/athletics/team/womens-volleyball-2019-2020/,Association of Independent Institutions,NAIA
Jennifer Torres,Jr.,L,5-3,Biology,S.T.E.M.,https://xulagold.com/sports/womens-volleyball/roster/jennifer-torres/3176,,Trinity Christian Academy,N,Xavier University of Louisiana,Louisiana,https://xulagold.com/index.aspx?path=wvball,Gulf Coast Athletic Conference,NAIA
Andrea Díaz Merced,So.,DS/L,5-6,,,http://www.ewctigerpride.com/roster/16/13/5601.php,Gurabo,Oakleaf High School,N,Edward Waters College,Florida,http://www.ewctigerpride.com/sport/16/13.php,Gulf Coast Athletic Conference,NAIA
