Player,Institution,State,Conference,Division,Stat_link,S,M,K,K/S,E,TA,Hit_Pct,A,A/S,SA,SA/S,D,D/S,BS,BA,TOT,B/S,PTS
Gregna Fuentes,Montreat College,North Carolina,Appalachian Athletic Conference,NAIA,,,,,,,,,,,,,,,,,,,
Katirya Hernández Martínez,St. Andrews University,North Carolina,Appalachian Athletic Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=18861&plr=83855&tab=2,64,,7,0.11,6,34,0.029,8,0.13,9,0.14,142,2.22,0,4,4,0.06,18.0
Adriana Santiago,St. Andrews University,North Carolina,Appalachian Athletic Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=18861&plr=83850&tab=2,52,,2,0.04,3,18,-0.056,12,0.23,8,0.15,30,0.58,0,1,1,0.02,10.5
Karina Lozada,St. Andrews University,North Carolina,Appalachian Athletic Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=18861&plr=75687&tab=2,123,,2,0.02,6,51,-0.078,111,0.90,17,0.14,719,5.85,0,0,0,0.00,19.0
Stephanie Sánchez,Keiser University,Florida,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=2055&plr=82467&tab=2,138,,9,0.07,19,58,-0.172,70,0.51,34,0.25,588,4.26,0,1,1,0.01,43.5
Gardieliz Laureano Andújar,College of Coastal Georgia,Georgia,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=18654&plr=90013&tab=1,98,,8,0.08,4,47,0.085,435,4.44,31,0.32,216,2.20,0,0,0,0.00,39.0
Yorelis Ríos González,College of Coastal Georgia,Georgia,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=18654&plr=81842&tab=2,99,,5,0.05,8,53,-0.057,114,1.15,39,0.39,546,5.52,0,0,0,0.00,44.0
Keisha Santana Roldán,Florida Memorial University,Florida,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=1978&plr=88216,113,,4,0.04,7,30,-0.1,105,0.93,30,0.27,570,5.04,0,0,0,0.00,34.0
Adriana Soto,Florida Memorial University,Florida,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=1978&plr=88212,80,,99,1.24,60,327,0.119,2,0.03,4,0.05,41,0.51,0,16,16,0.20,111.0
Biancaliz Cruz,Florida Memorial University,Florida,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=1978&plr=88211,123,,245,1.99,129,780,0.149,4,0.03,60,0.49,147,1.20,3,39,42,0.34,327.5
