Player,Institution,State,Division,Photo
Patricia Martínez,Catholic University of America,Washington D.C.,NCAA DIII,Catholic University Athletics
Claudia Rivera,Clark University,Massachusetts,NCAA DIII,Frank Poulin
Tatiana López,Dickinson College,Pennsylvania,NCAA DIII,Matt O'Haren
Nayeli Cruz,Eastern Connecticut State University,Connecticut,NCAA DIII,ECSU Athletics
Paula Pérez,Eastern Connecticut State University,Connecticut,NCAA DIII,ECSU Athletics
Alanys Cruz,Elms College,Massachusetts,NCAA DIII,Elms College Athletics
Jaylianne Ramos,Elms College,Massachusetts,NCAA DIII,Elms College Athletics
Kianna Lozada & Natalia Caraballo,Elms College,Massachusetts,NCAA DIII,Elms College Athletics
Fabiola Meléndez,Hood College,Maryland,NCAA DIII,Hood College Athletics
Freysha Rivera,John Jay College,New York,NCAA DIII,John Jay Athletics
Kiana Pérez Díaz,Lasell University,Massachusetts,NCAA DIII,Lasell University Athletics
María Pérez,Maine Maritime Academy,Maine,NCAA DIII,Maine Maritime Academy Athletics
Alejandra Figueroa,Manhattanville College,New York,NCAA DIII,Mike McLaughlin
Vianca Vital,Manhattanville College,Massachusetts,NCAA DIII,Sorbellini Photos
Noshka González,Medgar Evers College,New York,NCAA DIII,MEC Athletics
Yaidettive Vega,New Jersey City University,New Jersey,NCAA DIII,Larry Levanti
Ivanella Figueroa,Notre Dame of Maryland University,Maryland,NCAA DIII,NDMU Athletics
Paola Beníquez,Pratt Institute,New York,NCAA DIII,Pratt Institute Athletics
Alexa Rivera,Rutgers University - Newark,New Jersey,NCAA DIII,Larry Levanti
Anagabrielle Sánchez,Springfield College,Massachusetts,NCAA DIII,Springfield College Athletics
