Player,Institution,State,Conference,Division,Stat_link,S,M,K,K/S,E,TA,Hit_Pct,A,A/S,SA,SA/S,D,D/S,BS,BA,TOT,B/S,PTS
Ariana Pagán,Stephen F. Austin State University,Texas,Southland Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=676&stats_player_seq=2200168,101,32,118,1.17,50,496,0.137,22,0.22,21,0.21,290,2.87,4,43,47,0.47,164.5
Yelianiz Torres,Bowling Green State University,Ohio,Mid-American Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=71&stats_player_seq=2246700,28,13,13,0.46,12,46,0.022,3,0.11,2,0.07,36,1.29,1,,1,0.04,16.0
Amanda Rullán Villanova,Northern Illinois University,Illinois,Mid-American Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=503&stats_player_seq=1899914,27,19,18,0.67,13,71,0.070,1,0.04,,0.00,4,0.15,,3,3,0.11,19.5
Paula Cerame,University of Florida,Florida,Southeastern Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=235&stats_player_seq=2026948,55,23,0,0.00,0,1,0.000,12,0.22,,0.00,76,1.38,,,0,0.00,
Andrea Fuentes,University of Missouri,Missouri,Southeastern Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=434&stats_player_seq=1899992,111,30,53,0.48,17,118,0.305,1306,11.77,18,0.16,197,1.77,4,38,42,0.38,94.0
Dariana Hollingsworth Santana,University of Missouri,Missouri,Southeastern Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=434&stats_player_seq=1899994,110,30,224,2.04,67,501,0.313,15,0.14,30,0.27,156,1.42,6,56,62,0.56,288.0
Leandra Mangual Durán,University of Missouri,Missouri,Southeastern Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=434&stats_player_seq=2200520,110,30,1,0.01,2,11,-0.091,32,0.29,10,0.09,225,2.05,,,0,0.00,11.0
Camilla Covas,University of South Carolina,South Carolina,Southeastern Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=648&stats_player_seq=2199107,19,10,0,0.00,0,0,,,0.00,2,0.11,6,0.32,,,0,0.00,2.0
Lina Bernier,Florida International University,Florida,Conference USA,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=231&stats_player_seq=1687174,103,26,1,0.01,1,16,0.000,109,1.06,16,0.16,530,5.15,,,0,0.00,17.0
Fabiola Plaza,Florida International University,Florida,Conference USA,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=231&stats_player_seq=1804468,9,6,0,0.00,0,0,,16,1.78,,0.00,2,0.22,,,0,0.00,
