Player,Year,Position,Height,Major,Major_Category,Link,Hometown,High_School,High_School_in_PR,Institution,State,Institution_Link,Conference,Division
Carolina Robles,So.,OH,5-11,,,https://bereaathletics.prestosports.com/sports/wvball/2019-20/bios/robles_carolina_v9s1,Guaynabo,Wesleyan Academy,Y,Berea College,Kentucky,https://bereaathletics.prestosports.com/sports/wvball/index,USA South Athletic Conference,NCAA DIII
Luinet Meléndez,So.,DS/L,5-5,Biology/Pre-Med,S.T.E.M.,https://www.goregispride.com/sports/wvball/2019-20/bios/melendez_luinet_nxrv?view=bio,Ponce,Colegio Ponceño,Y,Regis College,Massachusetts,https://www.goregispride.com/sports/wvball/index,Great Northeast Athletic Conference,NCAA DIII
Kiana Pérez Díaz,So.,OH,5-9,Communications,Social Sciences,https://laserpride.lasell.edu/sports/wvball/2019-20/bios/perez_kiana_yf9m?view=profile,Juncos,Colegio Católico Notre Dame,Y,Lasell University,Massachusetts,https://laserpride.lasell.edu/sports/wvball/index,Great Northeast Athletic Conference,NCAA DIII
Natalia Rabassa,Fr.,L,5-1,,,http://usjbluejays.com/sports/wvball/2019-20/bios/rabassa_natalia_e5aq?view=profile,Juana Díaz,Colegio Ponceño,Y,University of Saint Joseph's,Connecticut,http://usjbluejays.com/sports/wvball/index,Great Northeast Athletic Conference,NCAA DIII
Fabiola Meléndez Rivera,So.,DS,5-3,,,https://hoodathletics.com/sports/womens-volleyball/roster/fabiola-melendez-rivera/5058,Toa Alta,Academia Santo Tomás de Aquino,Y,Hood College,Maryland,https://www.hoodathletics.com/sports/wvball/index,MAC Commonwealth Conference,NCAA DIII
Natalie Figueroa,Jr.,OH,5-7,,,https://benueagles.com/sports/womens-volleyball/roster/natalie-figueroa/10706,Corozal,Christian Military Academy,Y,Benedictine University,Illinois,https://benueagles.com/sports/womens-volleyball,Northern Athletics Collegiate Conference,NCAA DIII
Natalia Ortiz,So.,DS/L,5-0,Mechanical Engineering,S.T.E.M.,https://www.bantamsports.com/sports/wvball/2019-20/bios/ORTIZ_NATALIA?view=bio,Bayamón,Academia Santo Tomás de Aquino,Y,Trinity College,Connecticut,https://www.bantamsports.com/sports/wvball/index,New England Small College Athletic Conference,NCAA DIII
Andrea Méndez,Fr.,DS,5-5,Communication Studies,Social Sciences,https://www.emersonlions.com/sports/wvball/2019-20/bios/mendez_andrea_um2t?view=profile,Toa Alta,Colegio De La Salle,Y,Emerson College,Massachusetts,https://www.emersonlions.com/sports/wvball/index,New England Women's and Men's Athletic Conference,NCAA DIII
Anagabrielle Sánchez,Sr.,L,5-6,Criminal Justice,Public and Social Services,https://springfieldcollegepride.com/sports/wvball/2019-20/bios/sanchez_anagabrielle_l4dj,Caguas,Adler College,Y,Springfield College,Massachusetts,https://springfieldcollegepride.com/sports/wvball/index,New England Women's and Men's Athletic Conference,NCAA DIII
Margarita Pérez Maza,So.,OH,5-7,Business Management,Business,https://www.clarkathletics.com/sports/wvball/2019-20/bios/perez-maza_margarita_7kid?view=bio,Guaynabo,Cupeyville School,Y,Clark University,Massachusetts,https://www.clarkathletics.com/sports/wvball/index,New England Women's and Men's Athletic Conference,NCAA DIII
