Player,Institution,State,Conference,Division,Stat_link,S,M,K,K/S,E,TA,Hit_Pct,A,A/S,SA,SA/S,D,D/S,BS,BA,TOT,B/S,PTS
Carolina Robles,Berea College,Kentucky,USA South Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=30171&stats_player_seq=2067924,99,29,339,3.42,118,1012,0.218,30,0.30,59,0.60,393,3.97,1,18,19,0.19,408.0
Luinet Meléndez,Regis College,Massachusetts,Great Northeast Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=569&stats_player_seq=2238942,29,16,2,0.07,3,6,-0.167,5,0.17,8,0.28,44,1.52,,,0,0.00,10.0
Kiana Pérez Díaz,Lasell University,Massachusetts,Great Northeast Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=8486&stats_player_seq=2056495,109,31,404,3.71,202,1181,0.171,24,0.22,71,0.65,399,3.66,2,13,15,0.14,483.5
Natalia Rabassa,University of Saint Joseph's,Connecticut,Great Northeast Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=8687&stats_player_seq=2243614,94,26,3,0.03,11,30,-0.267,36,0.38,44,0.47,367,3.90,,,0,0.00,47.0
Fabiola Meléndez Rivera,Hood College,Maryland,MAC Commonwealth Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=8404&stats_player_seq=2228827,87,30,8,0.09,11,54,-0.056,40,0.46,22,0.25,302,3.47,,,0,0.00,30.0
Natalie Figueroa,Benedictine University,Illinois,Northern Athletics Collegiate Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=296&stats_player_seq=2240665,24,12,3,0.13,5,23,-0.087,1,0.04,6,0.25,11,0.46,,3,3,0.13,10.5
Natalia Ortiz,Trinity College,Connecticut,New England Small College Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=713&stats_player_seq=2075431,58,21,3,0.05,0,12,0.25,18,0.31,5,0.09,155,2.67,,,0,0.00,8.0
Andrea Méndez,Emerson College,Massachusetts,New England Women's and Men's Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=214&stats_player_seq=2207319,61,26,0,0.00,0,3,0,11,0.18,4,0.07,82,1.34,,,0,0.00,4.0
Anagabrielle Sánchez,Springfield College,Massachusetts,New England Women's and Men's Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=673&stats_player_seq=1812313,103,27,5,0.05,4,30,0.033,86,0.83,15,0.15,495,4.81,,,0,0.00,20.0
Margarita Pérez Maza,Clark University,Massachusetts,New England Women's and Men's Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=145&stats_player_seq=2058097,80,29,163,2.04,95,591,0.115,22,0.28,21,0.26,77,0.96,2,18,20,0.25,195.0
Claudia Rivera,Clark University,Massachusetts,New England Women's and Men's Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=145&stats_player_seq=2249531,77,22,278,3.61,126,792,0.192,7,0.09,10,0.13,77,1.00,4,12,16,0.21,298.0
Freysha Rivera,John Jay College,New York,City University of New York Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=321&stats_player_seq=2242607,67,24,3,0.04,6,26,-0.115,4,0.06,5,0.07,57,0.85,,,0,0.00,8.0
Noshka González Sánchez,Medgar Evers College,New York,City University of New York Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=403&stats_player_seq=2082568,57,19,23,0.40,35,128,-0.094,9,0.16,6,0.11,80,1.40,,3,3,0.05,30.5
