Player,Year,Position,Height,Major,Major_Category,Link,Hometown,High_School,High_School_in_PR,Institution,State,Institution_Link,Conference,Division
Alejandra Suárez,So.,,5-7,,,https://avemariagyrenes.com/sports/beach/roster/alejandra-suarez/4242,Gurabo,Colegio Bautista de Caguas,Y,Ave Maria University,Florida,https://avemariagyrenes.com/index.aspx?path=beach,The Sun Conference,NAIA BVB
Keisha Santana Roldán,Jr.,,5-0,Early Childhood Education,,https://fmuathletics.com/roster.aspx?rp_id=1362&path=bvball,Juncos,Escuela Isabel Flores Hernández,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=bvball,The Sun Conference,NAIA BVB
Adriana Soto,Fr.,,,,,https://fmuathletics.com/roster.aspx?rp_id=1363&path=bvball,Guaynabo,Christian Military Academy,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=bvball,The Sun Conference,NAIA BVB
Biancaliz Cruz,Fr.,,5-11,Biology,,https://fmuathletics.com/roster.aspx?rp_id=1351&path=bvball,Caguas,Colegio Radians,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=bvball,The Sun Conference,NAIA BVB
Francheska Rivera,Jr.,,,Biology,,https://fmuathletics.com/roster.aspx?rp_id=1360&path=bvball,San Juan,Escuela De Los Deportes,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=bvball,The Sun Conference,NAIA BVB
Jesennia Bonilla,Jr.,,5-9,Biology,,https://fmuathletics.com/roster.aspx?rp_id=1348&path=bvball,Ceiba,Colegio Hector Urdaneta,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=bvball,The Sun Conference,NAIA BVB
Marianne Negrón,Fr.,,,Social Work,,https://fmuathletics.com/roster.aspx?rp_id=1358&path=bvball,Loíza,Saint Francis School,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=bvball,The Sun Conference,NAIA BVB
Sammyra Albarrán,Jr.,,5-7,Education,,https://fmuathletics.com/roster.aspx?rp_id=1347&path=bvball,San Germán,Academia Inmaculada Concepción,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=bvball,The Sun Conference,NAIA BVB
Alanis Santana,Jr.,,,Biology,,https://fmuathletics.com/roster.aspx?rp_id=1361&path=bvball,Bayamón,Colegio De La Salle,Y,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=bvball,The Sun Conference,NAIA BVB
Keniah Rivera Santiago,Grad,,5-2,Psychology,Social Sciences,https://fire.seu.edu/roster.aspx?rp_id=2986&path=beach,Naguabo,W.T. Woodson HS,N,Southeastern University,Florida,https://fire.seu.edu/roster.aspx?path=beach,The Sun Conference,NAIA BVB
Sofía Adorno,Jr.,,5-8,Marketing,,https://stubobcats.com/sports/cbvball/roster/sofia-adorno/7349,San Juan,Colegio Santa Rosa,Y,St. Thomas University,Florida,https://stubobcats.com/index.aspx?path=cbvball,The Sun Conference,NAIA BVB
Amanda Allende,Fr.,,5-6,,,https://stubobcats.com/sports/cbvball/roster/amanda-allende/7350,,Chaminade Madonna College Prep,N,St. Thomas University,Florida,https://stubobcats.com/index.aspx?path=cbvball,The Sun Conference,NAIA BVB
Lina Bernier,Sr.,,5-10,Biomedical Engineering,,https://fiusports.com/sports/womens-beach-volleyball/roster/lina-bernier/7758,San Juan,Colegio San Antonio,Y,Florida International University,Florida,https://fiusports.com/index.aspx?path=beach_volleyball,Coastal Collegiate Sports Association,NCAA DI BVB
Ariana Pagán,Fr.,,5-10,Chemistry,,https://sfajacks.com/sports/womens-beach-volleyball/roster/ariana-pagan/2967,Isabela,Freidrich Froebel Bilingual School,Y,Stephen F. Austin State University,Texas,https://sfajacks.com/index.aspx?path=wbvball,Southland Conference,NCAA DI BVB
Eva Torruella,Sr.,,6-0,Fine Art,Arts and Humanities,https://tulanegreenwave.com/sports/womens-beach-volleyball/roster/eva-torruella/6582,San Juan,Saint John's School,Y,Tulane University,Louisiana,https://tulanegreenwave.com/index.aspx?path=wbvball,Coastal Collegiate Sports Association,NCAA DI BVB
Génesis Benítez,Sr.,,5-2,Interior Design,Arts and Humanities,https://roarlions.com/sports/womens-beach-volleyball/roster/genesis-ben-tez/1857,Caguas,Escuela Manuela Toro,Y,University of North Alabama,Alabama,https://roarlions.com/index.aspx?path=beach_volleyball,Atlantic Sun Conference,NCAA DI BVB
Joise Maldonado,So.,,6-2,Language,Arts and Humanities,https://roarlions.com/sports/womens-beach-volleyball/roster/joise-maldonado/1865,Vega Alta,Colegio Carmen Sol,Y,University of North Alabama,Alabama,https://roarlions.com/index.aspx?path=beach_volleyball,Atlantic Sun Conference,NCAA DI BVB
Angelie Rosario,Fr.,,5-7,Psychology,,https://unfospreys.com/roster.aspx?rp_id=9884&path=,Bayamón,Colegio Marista,Y,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=svball&,Atlantic Sun Conference,NCAA DI BVB
Solimar Cestero,So.,,6-0,Undecided,,https://unfospreys.com/roster.aspx?rp_id=9881&path=,Vega Baja,Colegio De La Salle,Y,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=svball&,Atlantic Sun Conference,NCAA DI BVB
Jeshmarie Suárez,Jr.,,5-3,Biology,,https://lagoldeneagles.com/sports/womens-beach-volleyball/roster/jeshmarie-suarez/3299,Bayamón,Bayamón Military Academy,Y,California State University Los Angeles,California,https://lagoldeneagles.com/index.aspx?path=vball,Independent,NCAA DII BVB
Karla Santos,Jr.,,5-8,Biology,,https://lagoldeneagles.com/sports/womens-beach-volleyball/roster/karla-santos/3307,Manatí,Colegio Puertorriqueño de Niñas,Y,California State University Los Angeles,California,https://lagoldeneagles.com/index.aspx?path=vball,Independent,NCAA DII BVB
Alejandra Negrón,Jr.,,5-9,Biology,,https://lagoldeneagles.com/sports/womens-beach-volleyball/roster/alejandra-negron/3308,Bayamón,Colegio Puertorriqueño de Niñas,Y,California State University Los Angeles,California,https://lagoldeneagles.com/index.aspx?path=vball,Independent,NCAA DII BVB
Valeria Rodríguez,Fr.,,,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/rodriguez_valeria_ohzi,Vega Baja,Christian Military Academy,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,,NJCAA DII BVB
Gabriela López,So.,,,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/lopez_gabriela_56oj,San Juan,Fountain Christian Bilingual School,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,,NJCAA DII BVB
Amanda Vega,Fr.,,,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/vega_amanda_xorm,Toa Baja,Bayamón Military Academy,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,,NJCAA DII BVB
Hecsiris Hernández,So.,,,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/hernandez_hecsiris_h6ww,Santa Isabel,Escuela Elvira M. Colón,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,,NJCAA DII BVB
Evelis Vicenty,So.,,,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/vicenty_evelis_njre,San Juan,University High School,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,,NJCAA DII BVB
Angelie Rivera,Fr.,,,,,https://wisconsin.bscbobcats.com/sports/beachvball/2019-20/bios/rivera_angelie_982f,Vega Baja,Christian Military Academy,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,,NJCAA DII BVB
