Player,Institution,State,Division,Photo
Celymar Cabranes,Allen Community College,Kansas,NJCAA DII,Allen Community College
Laia Jaca,Allen Community College,Kansas,NJCAA DII,Allen Community College
Gabriela López,Bryant & Stratton College,Wisconsin,NJCAA DII,Bryant & Stratton College
Hecsiris Hernández,Bryant & Stratton College,Wisconsin,NJCAA DII,Bryant & Stratton College
Aleyshka Quiñones,Coffeyville Community College,Kansas,NJCAA DII,Coffeyville Community College
Fabiana de Jesús,Coffeyville Community College,Kansas,NJCAA DII,Coffeyville Community College
Myrnaliz Pérez Rosa,Coffeyville Community College,Kansas,NJCAA DII,Coffeyville Community College
Seliann Concepción,Coffeyville Community College,Kansas,NJCAA DII,Coffeyville Community College
Alejandra Delgado,Cowley College,Kansas,NJCAA DII,Cowley College Athletics
Heliceliz Rivera,Frontier Community College,Illinois,NJCAA DII,FCC Bobcats Athletics
Amilex López Ayala,Kansas City Kansas Community College,Kansas,NJCAA DII,Brian Turrel
Natalia Vega Aponte,Kansas City Kansas Community College,Kansas,NJCAA DII,KCKCC Blue Devils Athletics
Fabianne Besosa & Jexley Porrata,Lake Region State College,North Dakota,NJCAA DII,Lake Region State College Athletics
Aleisha Marcano,Lake-Sumter State College,Florida,NJCAA DII,Lake-Sumter State College
Alanis Ruiz,Northeastern Oklahoma A&M College,Oklahoma,NJCAA DII,Northeastern Oklahoma A&M College
Ariana Ruiz,Northeastern Oklahoma A&M College,Oklahoma,NJCAA DII,Northeastern Oklahoma A&M College
