Player,Year,Position,Height,Major,Major_Category,Link,Hometown,High_School,High_School_in_PR,Institution,State,Institution_Link,Conference,Division
Kelly Rosario,So.,S,,,,https://www.wranglersports.net/sports/wvball/2019-20/bios/rosario_kelly_3p67?view=profile,San Juan,St. Mary's School,Y,Cisco College,Texas,https://www.wranglersports.net/sports/wvball/index,NJCAA Region 5,NJCAA DI
Alondra Cruz,Fr.,S,5-5,,,https://athletics.clarendoncollege.edu/PreviewPlayer.aspx?ID=30730,Toa Baja,,,Clarendon College,Texas,https://athletics.clarendoncollege.edu/Volleyball,NJCAA Region 5,NJCAA DI
Yadenis Marzán,Fr.,S,5-5,,,https://athletics.clarendoncollege.edu/PreviewPlayer.aspx?ID=30731,Dorado,Academia Santa Teresita,Y,Clarendon College,Texas,https://athletics.clarendoncollege.edu/Volleyball,NJCAA Region 5,NJCAA DI
Nadiushka Conde,Fr.,DS,5-2,,,https://athletics.clarendoncollege.edu/PreviewPlayer.aspx?ID=30734,Carolina,,,Clarendon College,Texas,https://athletics.clarendoncollege.edu/Volleyball,NJCAA Region 5,NJCAA DI
Coralys Maldonado,So.,M/Opp,5-8,,,https://www.nmmiathletics.com/sports/wvball/2019-20/bios/maldonado_coralys_ygxj?view=profile,Camuy,Colegio Evangélico Capitán Correa,Y,New Mexico Military Institute,New Mexico,https://www.nmmiathletics.com/sports/wvball/index,NJCAA Region 5,NJCAA DI
Gabriela Boyrie,So.,DS,5-6,,,https://www.vernoncollege.edu/PreviewPlayer.aspx?ID=239,Juana Díaz,Colegio San Judas Tadeo,Y,Vernon College,Texas,http://www.vernoncollege.edu/volleyballhomepage,NJCAA Region 5,NJCAA DI
Yuleishka Hernández,Fr.,DS/L,5-3,,,https://www.colbytrojans.com/sports/wvball/2019-20/bios/hernandez-yuleishka?view=bio,San Sebastián,Carib Christian School,Y,Colby Community College,Kansas,https://www.colbytrojans.com/sports/wvball/index,NJCAA Region 6,NJCAA DI
Karleeann Ramos,Jr.,OH,5-8,,,https://www.colbytrojans.com/sports/wvball/2019-20/bios/ramos_karleeann_efh8?view=bio,Aguas Buenas,Colegio Bautista de Caguas,,Colby Community College,Kansas,https://www.colbytrojans.com/sports/wvball/index,NJCAA Region 6,NJCAA DI
Wilani Velázquez,Fr.,S,5-3,,,https://goconqs.com/roster.aspx?rp_id=3432&path=wvball,Carolina,Colegio Santa Gema,Y,Dodge City Community College,Kansas,https://goconqs.com/index.aspx?path=wvball,NJCAA Region 6,NJCAA DI
Zulairam de Jesús,Fr.,Opp,5-6,,,https://goconqs.com/roster.aspx?rp_id=3435&path=wvball,Carolina,Colegio Santa Gema,Y,Dodge City Community College,Kansas,https://goconqs.com/index.aspx?path=wvball,NJCAA Region 6,NJCAA DI
Dorianne Lebrón,So.,MB,6-1,,,https://sewardsaints.com/sports/wvball/2019-20/bios/lebron_dorianne_b8k5?view=bio,Guayama,Guamaní Private School,Y,Seward County Community College,Kansas,https://sewardsaints.com/sports/wvball/index,NJCAA Region 6,NJCAA DI
Natasha Colón,So.,OH,5-6,,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/guayama/saint-patricks-bilingual-school/natasha-coln,Juana Díaz,Saint Patrick's Bilingual School,Y,Independence Community College,Kansas,,NJCAA Region 6,NJCAA DI
Hannia Ríos Escalera,So.,S,5-5,,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/bayamon/emadrian-bilingual-school/hannia-rios-escalera,Toa Baja,Emadrian Bilingual School,Y,Independence Community College,Kansas,,NJCAA Region 6,NJCAA DI
Paola Morales Vázquez,Fr.,MB/Opp,5-9,,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/utuado/luis-munoz-rivera/paola-morales-vazquez,Utuado,Escuela Luis Muñoz Rivera,Y,Independence Community College,Kansas,,NJCAA Region 6,NJCAA DI
Jonidsha Nieves Guerrido,Fr.,DS/L,5-3,,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/bayamon/emadrian-bilingual-school/jonidsha-nayelie-nieves-guerrido,Bayamón,Emadrian Bilingual School,Y,Independence Community College,Kansas,,NJCAA Region 6,NJCAA DI
Julianne Ortiz,So.,DS/L,5-7,,,https://www.ncsasports.org/womens-volleyball-recruiting/puerto-rico/bayamon/emadrian-bilingual-school/julianne-ortiz,Toa Alta,Emadrian Bilingual School,Y,Independence Community College,Kansas,,NJCAA Region 6,NJCAA DI
Amanda Cruz,Fr.,S,5-6,,,http://www.cfpatriots.net/sports/wvball/2019-20/bios/cruz_amanda_26lk?view=profile,Coamo,Colegio Nuestra Señora de Valvanera,Y,College of Central Florida,Florida,http://www.cfpatriots.net/sports/wvball/index,NJCAA Region 8,NJCAA DI
Kariema Rodríguez,So.,OH/DS,5-9,,,http://www.cfpatriots.net/sports/wvball/2019-20/bios/rodriguez_kariema_m0zz,Naranjito,The Rock School,N,College of Central Florida,Florida,http://www.cfpatriots.net/sports/wvball/index,NJCAA Region 8,NJCAA DI
Desiré Cruz,Fr.,MB,6-0,,,http://www.cfpatriots.net/sports/wvball/2019-20/bios/cruz_desire_umk1,Humacao,Escuela Petra Mercado,Y,College of Central Florida,Florida,http://www.cfpatriots.net/sports/wvball/index,NJCAA Region 8,NJCAA DI
Nataly García,Fr.,OH,6-0,,,http://www.cfpatriots.net/sports/wvball/2019-20/bios/garcia_nataly_wl62,Coamo,Colegio Nuestra Señora de Valvanera,Y,College of Central Florida,Florida,http://www.cfpatriots.net/sports/wvball/index,NJCAA Region 8,NJCAA DI
Giovana Larregui,So.,OH/DS,5-8,,,http://www.cfpatriots.net/sports/wvball/2019-20/bios/larregui_giovana_mbrw?view=profile,San Juan,Sunshine High School,N,College of Central Florida,Florida,http://www.cfpatriots.net/sports/wvball/index,NJCAA Region 8,NJCAA DI
Nicole Rodríguez,So.,L,,,,https://dscfalcons.com/sports/wvball/2019-20/bios/rodriguez_nicole_8qdu?view=bio,San Juan,Osceola High School,N,Daytona State College,Florida,https://dscfalcons.com/sports/wvball/index,NJCAA Region 8,NJCAA DI
Gabrielle Soto,So.,OH,,,,https://dscfalcons.com/sports/wvball/2019-20/bios/soto_gabrielle_bqqd?view=bio,Toa Baja,Colegio De Diego de Carolina,Y,Daytona State College,Florida,https://dscfalcons.com/sports/wvball/index,NJCAA Region 8,NJCAA DI
Carla Hernández,So.,OH,,,,https://dscfalcons.com/sports/wvball/2019-20/bios/hernandez_carla_to4h?view=bio,Hatillo,Colegio Evangélico Capitán Correa,Y,Daytona State College,Florida,https://dscfalcons.com/sports/wvball/index,NJCAA Region 8,NJCAA DI
Maredis Colón,Fr.,OH,5-7,,,https://www.efsctitans.com/sports/wvball/2019-20/bios/colon_maredis_fc8k?view=bio,Bayamón,Dr. Phillips High School,N,Eastern Florida State College,Florida,https://www.efsctitans.com/sports/wvball/index,NJCAA Region 8,NJCAA DI
Keydelis Nieves,Fr.,OH,5-5,,,https://www.efsctitans.com/sports/wvball/2019-20/bios/nieves_keydelis_tfsz,Guaynabo,Colegio Nuestra Señora de Guadalupe,Y,Eastern Florida State College,Florida,https://www.efsctitans.com/sports/wvball/index,NJCAA Region 8,NJCAA DI
María Rentas,So.,S,5-6,,,https://www.efsctitans.com/sports/wvball/2019-20/bios/rentas_maria_2iz7,Juana Díaz,Colegio San Judas Tadeo,Y,Eastern Florida State College,Florida,https://www.efsctitans.com/sports/wvball/index,NJCAA Region 8,NJCAA DI
Anaeli Perea Martín,Fr.,L,5-1,,,https://www.efsctitans.com/sports/wvball/2019-20/bios/perea_anaeli_a6xw?view=bio,Añasco,,,Eastern Florida State College,Florida,https://www.efsctitans.com/sports/wvball/index,NJCAA Region 8,NJCAA DI
Krystal Santiago,So.,L,5-6,,,https://www.gobluewave.com/sports/wvball/2019-20/bios/santiago_krystal_nc0y,Corozal,Academia Santa Teresita,Y,Florida State College at Jacksonville,Florida,https://www.gobluewave.com/sports/wvball/index,NJCAA Region 8,NJCAA DI
