Player,Institution,State,Conference,Division,Stat_link,M,S,K,K/S,E,TA,Hit_Pct,A,A/S,SA,SA/S,D,D/S,BS,BA,TOT,B/S,PTS
Ariana Ruiz,Northeastern Oklahoma A&M College,Oklahoma,NJCAA Region 2,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/northeasternoklahomaaampmcollege?view=lineup,32,109,101,0.93,58,243,0.177,54,0.5,20,0.18,163,1.5,3,14,17,0.16,131.0
Victoria Medina,Northeastern Oklahoma A&M College,Oklahoma,NJCAA Region 3,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/northeasternoklahomaaampmcollege?view=lineup,31,104,1,0.01,2,5,-0.2,5,0.05,0,0,190,1.83,0,0,0,0,1.0
Alanis Ruiz,Northeastern Oklahoma A&M College,Oklahoma,NJCAA Region 4,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/northeasternoklahomaaampmcollege?view=lineup,33,110,196,1.78,62,341,0.393,2,0.02,27,0.25,87,0.79,36,42,78,0.71,280.0
Gabriela López,Bryant & Stratton College,Wisconsin,NJCAA Region 4,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/bryantampstrattoncollegewi?view=lineup,39,139,192,1.38,93,481,0.206,21,0.15,57,0.41,497,3.58,1,1,2,0.01,250.5
Amanda Vega,Bryant & Stratton College,Wisconsin,NJCAA Region 4,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/bryantampstrattoncollegewi?view=lineup,39,139,58,0.42,13,87,0.517,761,5.47,40,0.29,225,1.62,5,5,10,0.07,105.5
Hecsiris Hernández,Bryant & Stratton College,Wisconsin,NJCAA Region 4,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/bryantampstrattoncollegewi?view=lineup,25,58,0,0,2,4,-0.5,2,0.03,19,0.33,75,1.29,0,0,0,0,19.0
Evelys Vicenty,Bryant & Stratton College,Wisconsin,NJCAA Region 4,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/bryantampstrattoncollegewi?view=lineup,38,122,8,0.07,4,13,0.308,674,5.52,28,0.23,210,1.72,0,0,0,0,36.0
Angelie Rivera,Bryant & Stratton College,Wisconsin,NJCAA Region 4,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/bryantampstrattoncollegewi?view=lineup,138,398,2.88,166,833,0.279,24,0.17,28,0.2,178,1.29,17,5,22,0.16,,19.1
Celymar Cabranes,Allen Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/allencountycommunitycollege?view=lineup,30,107,28,0.26,12,71,0.225,71,0.66,41,0.38,518,4.84,0,0,0,0,69.0
Laia Jaca,Allen Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/allencountycommunitycollege?view=lineup,31,111,87,0.78,10,322,0.239,896,8.07,40,0.36,318,2.86,6,12,18,0.16,139.0
Fabiana de Jesús,Coffeyville Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/coffeyvillecommunitycollege?view=lineup,44,111,1,0.01,0,2,0.5,6,0.05,20,0.18,141,1.27,0,0,0,0,21.0
Aleyshka Quiñones,Coffeyville Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/coffeyvillecommunitycollege?view=lineup,45,137,25,0.18,3,37,0.595,968,7.07,59,0.43,228,1.66,1,2,3,0.02,86.0
Seliann Concepción,Coffeyville Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/coffeyvillecommunitycollege?view=lineup,45,133,367,2.76,111,971,0.264,22,0.17,110,0.83,517,3.89,8,26,34,0.26,498.0
Myrnaliz Pérez Rosa,Coffeyville Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/coffeyvillecommunitycollege?view=lineup,42,81,53,0.65,25,170,0.165,0,0,12,0.15,147,1.81,2,17,19,0.23,75.5
Alejandra Delgado,Cowley College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/cowleycountycommunitycollege?view=lineup,36,125,1,0.01,2,23,-0.043,33,0.26,88,0.7,573,4.58,0,0,0,0,89.0
Adriana Vélez,Kansas City Kansas Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/kansascitykansascommunitycollege?view=lineup,21,48,3,0.06,0,9,0.333,166,3.46,9,0.19,88,1.83,1,2,3,0.06,14.0
Nicole Alméstica,Kansas City Kansas Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/kansascitykansascommunitycollege?view=lineup,25,55,0,0,1,7,-0.143,3,0.05,9,0.16,102,1.85,0,0,0,0,9.0
Natalia Vega Aponte,Kansas City Kansas Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/kansascitykansascommunitycollege?view=lineup,32,110,5,0.05,3,50,0.04,62,0.56,32,0.29,506,4.6,0,0,0,0,37.0
Amilex López Ayala,Kansas City Kansas Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/kansascitykansascommunitycollege?view=lineup,31,94,60,0.64,34,231,0.113,16,0.17,25,0.27,277,2.95,1,6,7,0.07,89.0
Julianie Laboy,Kansas City Kansas Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/kansascitykansascommunitycollege?view=lineup,15,24,1,0.04,0,1,1,1,0.04,2,0.08,9,0.38,0,0,0,0,3.0
Joalys Núñez,Lake-Sumter State College,Florida,NJCAA Region 8,NJCAA DII,https://lssc.prestosports.com/sports/wvball/2019-20/teams/lakesumterstatecollege?view=lineup&r=0&pos=,17,45,82,1.82,53,272,0.107,2,0.04,16,0.36,147,3.27,7,7,14,0.31,108.5
Aleisha Marcano,Lake-Sumter State College,Florida,NJCAA Region 8,NJCAA DII,https://lssc.prestosports.com/sports/wvball/2019-20/teams/lakesumterstatecollege?view=lineup&r=0&pos=,18,50,129,2.58,44,381,0.223,3,0.06,1,0.02,55,1.1,1,3,4,0.08,132.5
Frangelys Marcano,Pasco-Hernando State College,Florida,NJCAA Region 8,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/pascohernandostatecollege?view=lineup,12,35,3,0.09,4,12,-0.083,1,0.03,5,0.14,28,0.8,0,0,0,0,8.0
Joanmary Martínez,Southeast Community College,Nebraska,NJCAA Region 9,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/southeastcommunitycollege?view=lineup,20,27,1,0.04,1,6,0,1,0.04,0,0,19,0.7,0,0,0,0,1.0
Fabianne Besosa,Lake Region State College,North Dakota,Mon-Dak Athletic Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/lakeRegionstatecollegend?view=lineup,32,119,12,0.1,13,57,-0.018,63,0.53,32,0.27,634,5.33,0,0,0,0,44.0
