Player,Institution,State,Division,Tournament,Outcome
Adianez Rivera,Columbia College,Missouri,NAIA,NAIA 2019 Women's Volleyball Championship,Pool Round Exit
Adriana Soto,Florida Memorial University,Florida,NAIA,NAIA 2019 Women's Volleyball Championship,Opening Round Exit
Alanis Santana,Florida Memorial University,Florida,NAIA,NAIA 2019 Women's Volleyball Championship,Opening Round Exit
Biancaliz Cruz,Florida Memorial University,Florida,NAIA,NAIA 2019 Women's Volleyball Championship,Opening Round Exit
Francheska Rivera,Florida Memorial University,Florida,NAIA,NAIA 2019 Women's Volleyball Championship,Opening Round Exit
Jesennia Bonilla,Florida Memorial University,Florida,NAIA,NAIA 2019 Women's Volleyball Championship,Opening Round Exit
Keisha Santana,Florida Memorial University,Florida,NAIA,NAIA 2019 Women's Volleyball Championship,Opening Round Exit
Marianne Negrón,Florida Memorial University,Florida,NAIA,NAIA 2019 Women's Volleyball Championship,Opening Round Exit
Sammyra Albarrán,Florida Memorial University,Florida,NAIA,NAIA 2019 Women's Volleyball Championship,Opening Round Exit
Gabriella Gracia,Texas Wesleyan University,Texas,NAIA,NAIA 2019 Women's Volleyball Championship,Pool Round Exit
Keishla Reyes,University of Saint Mary,Kansas,NAIA,NAIA 2019 Women's Volleyball Championship,Pool Round Exit
Jennifer Torres,Xavier University of Louisiana,Louisiana,NAIA,NAIA 2019 Women's Volleyball Championship,Pool Round Exit
Ariana Pagán,Stephen F. Austin State University,Texas,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,1st Round Exit
Fabiola Ribas,University of Central Florida,Florida,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,2nd Round Exit
Paulina Pérez,University of Central Florida,Florida,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,2nd Round Exit
Paula Cerame,University of Florida,Florida,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,Sweet 16
Katerina Rocafort,University of Michigan,Michigan,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,2nd Round Exit
Andrea Fuentes,University of Missouri,Missouri,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,2nd Round Exit
Dariana Hollingsworth,University of Missouri,Missouri,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,2nd Round Exit
Leandra Mangual,University of Missouri,Missouri,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,2nd Round Exit
Valeria Vázquez,University of Pittsburgh,Pennsylvania,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,2nd Round Exit
Camilla Covas,University of South Carolina,South Carolina,NCAA DI,NCAA Division I 2019 Women's Volleyball Championship,2nd Round Exit
Valeria Aponte,Bentley University,Massachusetts,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,1st Round Exit
Jeshmarie Suárez,Cal State University Los Angeles,California,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,1st Round Exit
Karla Santos,Cal State University Los Angeles,California,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,1st Round Exit
Alejandra Negrón,Cal State University Los Angeles,California,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,1st Round Exit
Valeria Torres,Gannon University,Pennsylvania,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,Elite 8
Paula Céspedes,Georgian Court University,New Jersey,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,1st Round Exit
Vanelix Merced,Georgian Court University,New Jersey,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,1st Round Exit
Talía González,Georgian Court University,New Jersey,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,1st Round Exit
Nahomie Alejandro,Georgian Court University,New Jersey,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,1st Round Exit
Mainerys Muñoz,Holy Family University,Pennsylvania,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,2nd Round Exit
Michelle Henwood,Saint Anselm College,New Hampshire,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,2nd Round Exit
Fabiola Rosado,Saint Leo University,Florida,NCAA DII,NCAA Division II 2019 Women's Volleyball Championship,Elite 8
