Player Name,Number,Category,Rank,Institution,State,Division,Photo
Keishla Reyes,66,aces,4,University of Saint Mary,Kansas,NAIA, University of Saint Mary Athletics Department
Andrea Serra,55,aces,16,American International College,Massachusetts,NCAA Division II,RJB Sports
Karla Santos,48,aces,41,Cal State University Los Angeles,California,NCAA Division II,Robert Huskey
Victoria Alomar,82,aces,3,Western Connecticut State University,Connecticut,NCAA Division III,WCSU Athletics
Kiana Pérez Díaz,71,aces,12,Lasell University,Massachusetts,NCAA Division III,Lasell University Athletics
Vianca Vital,64,aces,34,Manhattanville College,New York,NCAA Division III,Mike McLaughlin
Melanie Orsini,85,aces,2,Monroe College,New York,NJCAA Division I,Monroe College Athletics
Alondra García,67,aces,5,Monroe College,New York,NJCAA Division I,Monroe College Athletics
Yarianne González,53,aces,20,Monroe College,New York,NJCAA Division I,Monroe College Athletics
Erica González,50,aces,25,Laredo College,Texas,NJCAA Division I,Laredo College Athletics
Yadenis Marzán,44,aces,45,Clarendon College,Texas,NJCAA Division I,Clarendon College
Seliann Concepción,110,aces,2,Coffeyville Community College,Kansas,NJCAA Division II,Coffeyville Community College
Alejandra Delgado,88,aces,4,Cowley College,Kansas,NJCAA Division II,Cowley College Athletics
Aleyshka Quiñones,59,aces,25,Coffeyville Community College,Kansas,NJCAA Division II,Coffeyville Community College
Gabriela López,57,aces,32,Bryant & Stratton College,Wisconsin,NJCAA Division II,Bryant & Stratton College
Katherine Rodríguez,1.16,aces/set,1,Fisher College,Massachusetts,NAIA,Fisher College Athletics
Biancaliz Cruz,0.49,aces/set,28,Florida Memorial University,Florida,NAIA,FMU Athletics
Sharlissa de Jesús,0.46,aces/set,25,The Citadel,South Carolina,NCAA Division I,The Citadel Sports
Jasmal Cruz,0.43,aces/set,32,Delaware State University,Delaware,NCAA Division I,Delaware State University Athletics
Ivanella Figueroa,0.65,aces/set,36,Notre Dame of Maryland University,Maryland,NCAA Division III,Notre Dame Of Maryland University
Kelly Rosario,0.51,aces/set,14,Cisco College,Texas,NJCAA Division I,Cisco College Athletics
Jexley Porrata,73,assisted blocks,48,Lake Region State College,North Dakota,NJCAA Division II,Lake Region State College Athletics
Naomi Eckert,1208,assists,29,American International College,Massachusetts,NCAA Division II,RJB Sports
Erica González,1130,assists,14,Laredo College,Texas,NJCAA Division I,Laredo College Athletics
Aleyshka Quiñones,968,assists,23,Coffeyville Community College,Kansas,NJCAA Division II,Coffeyville Community College
Laia Jaca,896,assists,34,Allen Community College,Kansas,NJCAA Division II,Allen Community College
Andrea Fuentes,11.77,assists/set,5,University of Missouri,Missouri,NCAA Division I,Missouri Athletics
Hannia Ríos,8.85,assists/set,25,Independence Community College,Kansas,NJCAA Division I,Independence Community College
María Hernández,8.27,assists/set,32,Santa Fe College,Florida,NJCAA Division I,Tom Hagerty
Karina Lozada,719,digs,12,St. Andrews University,North Carolina,NAIA,St. Andrews Knights Athletics
Keishla Reyes,652,digs,30,University of Saint Mary,Kansas,NAIA, University of Saint Mary Athletics Department
Rocío Moro,633,digs,15,University of North Florida,Florida,NCAA Division I,Brad Young | ASUN Photos
Laura Rojas,564,digs,40,Southern Illinois University,Illinois,NCAA Division I,Southern Illinois University Athletics
Melanie Orsini,731,digs,5,Monroe College,New York,NJCAA Division I,Monroe College Athletics
Ana Costas,547,digs,27,Western Nebraska Community College,Nebraska,NJCAA Division I,Western Nebraska Community College
Fabianne Besosa,634,digs,25,Lake Region State College,North Dakota,NJCAA Division II,Lake Region State College Athletics
Alejandra Delgado,573,digs,39,Cowley College,Kansas,NJCAA Division II,Cowley College Athletics
Yorelis Ríos González,5.52,digs/set,27,College of Coastal Georgia,Georgia,NAIA,Coastal Georgia Athletics
Karla Seda,5.18,digs/set,21,Saint Peter's University,New Jersey,NCAA Division I,Beth Lochner
Lina Bernier,5.15,digs/set,23,Florida International University,Florida,NCAA Division I,Florida International University Athletics
Neyshlian Román Concepción,5.21,digs/set,46,Goldey-Beacom College,Delaware,NCAA Division II,Goldey-Beacom Athletics
Krystal Santiago,5.25,digs/set,15,Florida State College at Jacksonville,Florida,NJCAA Division I,Florida State College at Jacksonville
Jonidsha Nieves Guerrido,4.69,digs/set,33,Independence Community College,Kansas,NJCAA Division I,Independence Community College
Suared Molina,4.38,digs/set,42,Polk State College,Florida,NJCAA Division I,Tom Hagerty
Nicole Rodríguez,4.34,digs/set,43,Daytona State College,Florida,NJCAA Division I,Tom Hagerty
Celymar Cabranes,4.84,digs/set,42,Allen Community College,Kansas,NJCAA Division II,Allen Community College
Andrea Serra,532,kills,3,American International College,Massachusetts,NCAA Division II,RJB Sports
Angelie Rivera,388,kills,44,Bryant & Stratton College,Wisconsin,NJCAA Division II,Bryant & Stratton College
Jexley Porrata,376,kills,46,Lake Region State College,North Dakota,NJCAA Division II,Lake Region State College Athletics
Paola Sanabria López,3.91,kills/set,23,Bethany College,Kansas,NAIA,Bethany College Athletics
Emileishka de Jesús,3.74,kills/set,35,Indiana University Northwest,Indiana,NAIA,Indiana University Northwest
Melanie Feliciano,4.18,kills/set,34,University of Evansville,Indiana,NCAA Division I,University of Evansville
Carla Hernández,3.67,kills/set,23,Daytona State College,Florida,NJCAA Division I,Tom Hagerty
Seliann Concepción,498.0,points,31,Coffeyville Community College,Kansas,NJCAA Division II,Coffeyville Community College
Kiana Pérez Díaz,4.44,points/set,29,Lasell University,Massachusetts,NCAA Division III,Lasell University Athletics
Henielys Ramos,7,triple doubles,3,Chestnut Hill College,Pennsylvania,NCAA Division II,Chestnut Hill College Athletics
