Player,Year,Position,Height,Major,Major_Category,Link,Hometown,High_School,High_School_in_PR,Institution,State,Institution_Link,Conference,Division
Vianca Colón González,So.,S,5-6,Marketing,Business,https://athletics.claflin.edu/sports/womens-volleyball/roster/vianca-col-n-gonzalez/1353,,Spring Valley High School,N,Claflin University,South Carolina,https://athletics.claflin.edu/index.aspx?path=wvball,Central Intercollegiate Athletic Association,NCAA DII
Tatyana Medina,Jr.,DS/L,5-1,,,https://www.ecblazers.com/sports/wvball/2018-19/bios/medina_tatyana_pbff?view=profile,,Springfield Central High School,N,Elms College,Massachusetts,https://www.ecblazers.com/sports/wvball/index,New England Collegiate Conference,NCAA DIII
Nagely Cruz León,Fr.,,,NA,NA,https://lackawannafalcons.com/sports/womens-volleyball/roster/nagely-cruz-leon/310,,,N,Lackawanna College,Pennsylvania,https://lackawannafalcons.com/index.aspx?path=wvball,NJCAA Region 19,NJCAA DII
Nashally Eleutiza,Jr.,DS,5-8,Allied Health,Health and Medicine,https://gojaspers.com/sports/womens-volleyball/roster/nashally-eleutiza/7192,,Cypress Creek H.S.,N,Manhattan College,New York,https://gojaspers.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA DI
Frangelys Marcano,Fr.,OH,5-6,NA,NA,https://bobcats.phsc.edu/sports/volleyball/roster,,East Ridge High School,N,Pasco-Hernando State College,Florida,https://bobcats.phsc.edu/sports/volleyball,NJCAA Region 8,NJCAA DII
Milleysha Molina Otero,Jr.,L,5-6,,,https://shepherdrams.com/sports/womens-volleyball/roster/milleysha-molina-otero/2756,,Chantilly High School,N,Shepherd University,Pennsylvania,https://shepherdrams.com/index.aspx?path=wvball,Pennsylvania State Athletic Conference,NCAA DII
Laura Rojas,Sr.,L/DS,5-4,Biological Sciences,S.T.E.M.,https://siusalukis.com/sports/womens-volleyball/roster/laura-rojas/3824,,Cypress Creek H.S.,N,Southern Illinois University,Illinois,https://siusalukis.com/index.aspx?path=wvball,Missouri Valley Conference,NCAA DI
Amanda Allende,Fr.,OH,5-6,,,https://stubobcats.com/sports/womens-volleyball/roster/amanda-allende/4707,,Chaminade Madinna College Prep,N,St. Thomas University,Florida,https://stubobcats.com/index.aspx?path=wvball,The Sun Conference,NAIA
Nicole Peña,Fr.,DS,5-5,NA,NA,https://wnccathletics.com/sports/wvball/2019-20/bios/perez_nicole_bkgw,,Shoemaker High School,N,Western Nebraska Community College,Nebraska,https://wnccathletics.com/sports/wvball/index,NJCAA Region 9,NJCAA DI
Alenys Rivera Cotto,Fr.,DS,5-1,Pre-Science,S.T.E.M.,http://www.wnegoldenbears.com/sports/wvball/2019-20/bios/rivera_cotto_alenys_f9wr?view=bio,,Springfield Central High School,N,Western New England University,Massachusetts,http://www.wnegoldenbears.com/sports/wvball/index,Commonwealth Coast Conference,NCAA DIII
