Player,Institution,State,Conference,Division,Stat_link,S,M,K,K.S,E,TA,Hit_Pct,A,A.S,SA,SA.S,D,D.S,BS,BA,TOT,B.S,PTS,Photo
Biancaliz Cruz,Florida Memorial University,Florida,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=1978&plr=88211,123,NA,245,1.99,129,780,0.149,4,0.03,60,0.49,147,1.2,3,39,42,0.34,327.5,FMU Athletics
Keishla Reyes,University of Saint Mary,Kansas,Kansas Collegiate Athletic Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=2078&plr=87733,151,NA,15,0.1,15,115,0,77,0.51,66,0.44,652,4.32,1,1,2,0.01,82.5, University of Saint Mary Athletics Department
Katherine Rodríguez,Fisher College,Massachusetts,Association of Independent Institutions,NAIA,http://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=20989&plr=89784,73,NA,32,0.44,17,146,0.103,480,6.58,85,1.16,175,2.4,0,1,1,0.01,117.5,Fisher College Athletics
Kiana Pérez Díaz,Lasell University,Massachusetts,Great Northeast Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=8486&stats_player_seq=2056495,109,31,404,3.71,202,1181,0.171,24,0.22,71,0.65,399,3.66,2,13,15,0.14,483.5,Lasell University Athletics
Victoria Alomar,Western Connecticut State University,Connecticut,Little East Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=770&stats_player_seq=2230119,99,28,16,0.16,9,93,0.075,57,0.58,82,0.83,333,3.36,NA,1,1,0.01,98.5,WCSU Athletics
Vianca Vital,Manhattanville College,New York,Skyline Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=382&stats_player_seq=2221868,104,30,78,0.75,29,244,0.201,934,8.98,64,0.62,390,3.75,3,9,12,0.12,149,Mike McLaughlin
Paola Beníquez,Pratt Institute,New York,American Collegiate Athletic Association,NCAA DIII,https://goprattgo.com/sports/womens-volleyball/stats/2019,77,25,139,1.81,51,372,0.237,33,0.43,67,0.87,207,2.69,1,4,5,0.06,209,Pratt Institute Athletics
Melanie Orsini,Monroe College,New York,NJCAA Region 15,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/monroecollege?view=lineup,139,40,3,0.02,7,53,-0.075,134,0.96,85,0.61,731,5.26,0,0,0,0,88,Monroe College Athletics
Alondra García,Monroe College,New York,NJCAA Region 15,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/monroecollege?view=lineup,125,36,23,0.18,4,77,0.247,669,5.35,67,0.54,216,1.73,0,0,0,0,90,Monroe College Athletics
Seliann Concepción,Coffeyville Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/coffeyvillecommunitycollege?view=lineup,133,45,367,2.76,111,971,0.264,22,0.17,110,0.83,517,3.89,8,26,34,0.26,498,Coffeyville Community College
Alejandra Delgado,Cowley College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/cowleycountycommunitycollege?view=lineup,125,36,1,0.01,2,23,-0.043,33,0.26,88,0.7,573,4.58,0,0,0,0,89,Cowley College Athletics
