Hometown,PlayerCount
,11
Aguadilla,2
Aguas Buenas,2
Añasco,2
Arecibo,3
Barceloneta,1
Barranquitas,1
Bayamón,34
Cabo Rojo,1
Caguas,10
Camuy,1
Canóvanas,1
Carolina,18
Cataño,2
Cayey,3
Ceiba,1
Ciales,1
Cidra,2
Coamo,4
Corozal,4
Dorado,2
Fajardo,2
Florida,1
Guánica,1
Guayama,4
Guayanilla,1
Guaynabo,18
Gurabo,9
Hatillo,1
Humacao,5
Isabela,4
Juana Díaz,6
Juncos,2
Lajas,1
Las Piedras,1
Loíza,2
Luquillo,2
Manatí,6
Mayagüez,1
Morovis,1
Naguabo,1
Naranjito,2
Patillas,2
Peñuelas,1
Ponce,7
Rincón,1
Río Grande,2
Salinas,1
San Germán,1
San Juan,35
San Lorenzo,1
San Sebastián,2
Santa Isabel,1
Toa Alta,11
Toa Baja,14
Trujillo Alto,6
Utuado,1
Vega Alta,1
Vega Baja,8
